,Start date,End date,Country name,ISO,Location,Disaster type,Disaster subtype,Associated dis.,Associated dis2.,Total deaths,Total affected,Total damage,Insured loss,Disaster ID
0,00/11/1904,00/11/1904.1,Bangladesh,BGD,Chittagong,Storm,Tropical cyclone,--,--,--,--,--,--,1904-0003
1,15/10/1909,15/10/1909.1,Bangladesh,BGD,Bakerganj,Storm,Tropical cyclone,--,--,172,--,--,--,1909-0010
2,00/12/1909,00/12/1909.1,Bangladesh,BGD,West Sundarbans,Storm,Tropical cyclone,--,--,--,--,--,--,1909-0013
3,00/04/1911,00/04/1911.1,Bangladesh,BGD,Teknaf,Storm,Tropical cyclone,--,--,--,--,--,--,1911-0004
4,23/09/1919,23/09/1919.1,Bangladesh,BGD,Bakerganj,Storm,Tropical cyclone,--,--,--,--,--,--,1919-0003
5,19/04/1922,19/04/1922.1,Bangladesh,BGD,Teknaf,Storm,Tropical cyclone,--,--,--,--,--,--,1922-0003
6,07/05/1923,07/05/1923.1,Bangladesh,BGD,"Cox's Bazar, Chittagong",Storm,Tropical cyclone,--,--,6,25000,--,--,1923-0003
7,19/05/1926,19/05/1926.1,Bangladesh,BGD,Cox's Bazar,Storm,Tropical cyclone,--,--,--,--,--,--,1926-0004
8,11/10/1937,11/10/1937.1,Bangladesh,BGD,Noakhali,Storm,Tropical cyclone,--,--,--,--,--,--,1937-0006
9,21/05/1941,21/05/1941.1,Bangladesh,BGD,"Bhola, East Meghna estuary",Storm,Tropical cyclone,--,--,5000,--,--,--,1941-0003
10,00/10/1942,00/10/1942.1,Bangladesh,BGD,West Sundarbans,Storm,Tropical cyclone,--,--,61000,--,--,--,1942-0008
11,21/10/1947,21/10/1947.1,Bangladesh,BGD,"Cox's Bazar, Chittagong",Storm,Tropical cyclone,--,--,500,--,--,--,1947-0012
12,00/05/1951,00/05/1951.1,Bangladesh,BGD,Unnamed: 4,Storm,--,--,--,200,--,--,--,1951-0036
13,00/05/1958,00/05/1958.1,Bangladesh,BGD,East Meghna Estuary,Storm,Tropical cyclone,--,--,--,--,--,--,1958-0008
14,20/10/1958,20/10/1958.1,Bangladesh,BGD,Unnamed: 4,Storm,Tropical cyclone,--,--,500,--,--,--,1958-0014
15,00/00/1960,00/00/1960.1,Bangladesh,BGD,Unnamed: 4,Flood,--,--,--,10000,--,--,--,1960-0001
16,09/10/1960,09/10/1960.1,Bangladesh,BGD,"Noakhali, Off-Shore Islands",Storm,Tropical cyclone,--,--,3000,--,--,--,1960-0030
17,30/10/1960,30/10/1960.1,Bangladesh,BGD,"Chittagong area, Off-Shore Islands",Storm,Tropical cyclone,--,--,5149,200000,--,--,1960-0031
18,09/05/1961,09/05/1961.1,Bangladesh,BGD,Megna Eestuary,Storm,Tropical cyclone,--,--,11000,--,11900,--,1961-0004
19,30/05/1961,30/05/1961.1,Bangladesh,BGD,Chittagong,Storm,Tropical cyclone,--,--,--,--,--,--,1961-0005
20,00/03/1961,00/03/1961.1,Bangladesh,BGD,Unnamed: 4,Storm,--,--,--,266,--,--,--,1961-0046
21,28/05/1963,28/05/1963.1,Bangladesh,BGD,"Chittagong, Noakhali",Storm,Tropical cyclone,--,--,22000,1000000,50000,--,1963-0013
