roadNo,roadId,startChainage,endChainage,width,nrLanes
R550,1346,0,0.2,11.2,4
R550,1346,0.2,0.34,6,2
R550,1346,0.34,20.4,5.6,2
R550,1346,20.4,20.97,7.6,2
R550,1346,20.97,25,7.6,2
R550,1346,25,28.596,5.6,2
R550,1346,28.596,31,5.5,2
R550,1346,31,34.17,5.7,2
R550,1346,34.17,35.7,7.3,2
R550,1346,35.7,36.12,7.3,2
R550,1346,36.12,36.33,10.3,3
R550,1346,36.33,36.56,7.3,2
R550,1346,36.56,36.84,7.3,2
Z6034,1048,0,0.02,4,1.5
Z6034,1048,0.02,0.2,4,1.5
Z6034,1048,0.2,1.33,6,2
Z6034,1048,1.33,2.645,4,1.5
Z6034,1048,2.645,2.659,4,1.5
Z6030,1083,0,0.15,22,4
Z6030,1083,0.15,1.005,5.5,2
Z6030,1083,1.005,3.934,5.5,2
Z6030,1083,3.934,4.284,5.5,2
Z6030,1083,4.284,6.264,5.5,2
Z6030,1083,6.264,6.564,5.5,2
Z6030,1083,6.564,10.784,5.5,2
R555,1362,0,0.02,6,2
R555,1362,0.02,0.5,6,2
R555,1362,0.5,1.58,6,2
R555,1362,1.58,1.78,6,2
R555,1362,1.78,2.48,6,2
R555,1362,2.48,2.58,6,2
R555,1362,2.58,3.78,5.6,2
R555,1362,3.78,3.93,5.6,2
R555,1362,3.93,7.072,5.6,2
R555,1362,7.072,7.522,5.6,2
R555,1362,7.522,13.59,5.6,2
R555,1362,13.59,13.81,5.6,2
R555,1362,13.81,17.574,5.6,2
R555,1362,17.574,18.974,7.7,2
R555,1362,18.974,19.974,6,2
R555,1362,19.974,20.524,7.5,2
R555,1362,20.524,21.015,5.4,1.5
N303,1779,0,1.009,5.5,2
N302,1620,0,0.15,36,8
N302,1620,0.15,1.1,8.9,2
N302,1620,1.1,1.9,8.8,2
N302,1620,1.9,3.76,9.2,3
N302,1620,3.76,5.57,9.3,3
N302,1620,5.57,5.78,9.2,3
N302,1620,5.78,5.9,11.5,4
N302,1620,5.9,9.4,9.6,3
N302,1620,9.4,13.45,7.3,2
N302,1620,13.45,13.55,17.2,4
N302,1620,13.55,17.4,7.3,2
N302,1620,17.4,17.555,11,3
R558,1543,0,0.1,8.7,2
R558,1543,0.1,4.55,8.2,2
R558,1543,4.55,5.08,5.6,2
N309,1577,0,0.03,21,4
N309,1577,0.03,1,7.15,2
N309,1577,1,2.1,7.12,2
N309,1577,2.1,3.16,7.18,2
N309,1577,3.16,3.2,10.3,3
N309,1577,3.2,3.25,8.5,2
N309,1577,3.25,4.45,7.16,2
N309,1577,4.45,5.74,7.16,2
N309,1577,5.74,7.2,7.18,2
N309,1577,7.2,8.6,7.12,2
N309,1577,8.6,9.9,7.1,2
N309,1577,9.9,11.3,7.8,2
N309,1577,11.3,12.2,7.9,2
N309,1577,12.2,13.303,7.4,2
Z5622,1359,0,0.05,14.5,4
Z5622,1359,0.05,0.126,15.2,4
Z5622,1359,0.126,0.167,14,4
Z5622,1359,0.167,0.75,6.8,2
Z5622,1359,0.75,1.46,5.5,2
Z5622,1359,1.46,1.87,5.7,2
Z5622,1359,1.87,5.77,6.6,2
Z5622,1359,5.77,23.08,5.7,2
