link_no,start_location_lrp,start_location_offset,start_location_chainage,end_location_lrp,end_location_offset,end_location_chainage,length,heavy_truck_aadt,medium_truck_aadt,small_truck_aadt,large_bus_aadt,medium_bus_aadt,micro_bus_aadt,utility,car_aadt,total_motorized_aadt
N1-1L,LRPS,0,0,LRPS,822,0.822,0.822,402,5842,1147,2842,526,2010,238,1851,18236
N1-1R,LRPS,0,0,LRPS,822,0.822,0.822,660,6155,1554,2744,971,2120,480,2608,20236
N1-2L,LRPS,822,0.822,LRPS,4175,4.175,3.353,660,6155,1554,2744,971,2120,480,2608,20236
N1-2R,LRPS,822,0.822,LRPS,4175,4.175,3.353,402,5842,1147,2842,526,2010,238,1851,18236
N1-3L,LRPS,4175,4.175,LRPS,7181,7.181,3.006,91,2706,2184,2534,1773,1643,314,1690,16288
N1-3R,LRPS,4175,4.175,LRPS,7181,7.181,3.006,85,2544,2053,2412,1688,1564,298,1609,15445
N1-4L,LRPS,7181,7.181,LRP009,260,8.763,1.582,174,2905,1360,2576,1356,1415,320,1579,16001
N1-4R,LRPS,7181,7.181,LRP009,260,8.763,1.582,153,2955,1566,2438,1456,1299,345,1948,15996
N1-5L,LRP009,260,8.763,LRP012,439,11.936,3.173,174,4965,3478,3296,2791,1751,249,1579,22591
N1-5R,LRP009,260,8.763,LRP012,439,11.936,3.173,153,4419,3221,2880,2408,2787,345,2105,22541
N1-6L,LRP012,439,11.936,LRP013,3411,15.935,3.999,153,4419,3221,2880,2408,2787,345,2105,22541
N1-6R,LRP012,439,11.936,LRP013,3411,15.935,3.999,174,4965,3478,3296,2791,1751,249,1579,22591
N1-7L,LRP013,3411,15.935,LRP013,7520,20.044,4.109,153,4419,3221,2880,2408,2787,345,2105,22541
N1-7R,LRP013,3411,15.935,LRP013,7520,20.044,4.109,174,4965,3478,3296,2791,1751,249,1579,22591
N1-8L,LRP013,7520,20.044,LRP022,1935,23.564,3.52,355,5314,1116,1401,726,1663,403,2137,14589
N1-8R,LRP013,7520,20.044,LRP022,1935,23.564,3.52,244,4999,1005,2019,684,1647,396,1961,14389
N1-9L,LRP022,1935,23.564,LRP031,162,30.936,7.372,244,4999,1005,2019,684,1647,396,1961,14389
N1-9R,LRP022,1935,23.564,LRP031,162,30.936,7.372,355,5314,1116,1401,726,1663,403,2137,14589
N1-10L,LRP031,162,30.936,LRP033,3664,36.271,5.335,355,5314,1116,1401,726,1663,403,2137,14589
N1-10R,LRP031,162,30.936,LRP033,3664,36.271,5.335,244,4999,1005,2019,684,1647,396,1961,14389
N1-11L,LRP033,3664,36.271,LRP033,5859,38.466,2.195,355,5314,1116,1401,726,1663,403,2137,14589
N1-11R,LRP033,3664,36.271,LRP033,5859,38.466,2.195,244,4999,1005,2019,684,1647,396,1961,14389
N1-12L,LRP033,5859,38.466,LRP043,3119,45.388,6.922,348,4941,928,1627,632,695,397,1049,11549
N1-12R,LRP033,5859,38.466,LRP043,3119,45.388,6.922,359,4772,851,1637,566,699,398,1126,11392
N1-13L,LRP043,3119,45.388,LRP043,4955,47.224,1.836,348,4941,928,1627,632,695,397,1049,11549
N1-13R,LRP043,3119,45.388,LRP043,4955,47.224,1.836,359,4772,851,1637,566,699,398,1126,11392
N1-14L,LRP043,4955,47.224,LRP043,13208,55.477,8.253,359,4772,851,1637,566,699,398,1126,11392
N1-14R,LRP043,4955,47.224,LRP043,13208,55.477,8.253,348,4941,928,1627,632,695,397,1049,11549
N1-15L,LRP043,13208,55.477,LRP043,20009,62.278,6.801,348,4941,928,1627,632,695,397,1049,11549
N1-15R,LRP043,13208,55.477,LRP043,20009,62.278,6.801,359,4772,851,1637,566,699,398,1126,11392
N1-16L,LRP043,20009,62.278,LRP067,3912,69.638,7.36,348,4941,928,1627,632,695,397,1049,11549
N1-16R,LRP043,20009,62.278,LRP067,3912,69.638,7.36,359,4772,851,1637,566,699,398,1126,11392
N1-17L,LRP067,3912,69.638,LRP076,1760,75.589,5.951,308,5253,680,1824,454,959,393,1215,13700
N1-17R,LRP067,3912,69.638,LRP076,1760,75.589,5.951,336,5605,763,1863,474,1037,415,1042,13933
N1-18L,LRP076,1760,75.589,LRP076,8017,81.846,6.257,308,5253,680,1824,454,959,393,1215,13700
N1-18R,LRP076,1760,75.589,LRP076,8017,81.846,6.257,336,5605,763,1863,474,1037,415,1042,13933
N1-19L,LRP076,8017,81.846,LRP076,12068,85.897,4.051,308,5253,680,1824,454,959,393,1215,13700
