Division,No,District,Code,Bricks_exp_ton,Bricks_loc_ton,Bricks_ton,Equal,Flour_mill,Fruits_exp_ton,Fruits_loc_ton,Fruits_ton,Tot_Garment_Factory,Local_garment_factory,Garment_factory,Garment_exp_ton,Garment_loc_ton,Garment_ton,Handloom_facility,Household,Jute_exp_ton,Jute_loc_ton,Jute_mill,Jute_ton,Municipalities,Population,Population_M,Potatoes_exp_ton,Potatoes_loc_ton,Potatoes_ton,RawJute_loc_ton,Rice_exp_ton,Rice_loc_ton,Rice_ton,Steel_exp_ton,Steel_industry,Steel_loc_ton,Steel_ton,Sugar_exp_ton,Sugar_loc_ton,Sugar_ton,Textile_exp_ton,Textile_loc_ton,Textile_mill,Textile_ton,Total Area (Sq. km.),Land_exp_ton,Land_import_ton-2013-2014,Land_throughput,Seaport_exp_ton,Seaport_import_ton-2014-2015,Seaport_throughput,Total_export,Union,Upazila,Village,Wheat_exp_ton,Wheat_loc_ton,Wheat_ton,Total_flow,Food_exp_ton,Jutextile_exp_ton,Foods_loc_ton,Nonfoods_loc_ton,SteelBricks_exp_ton
Barisal,1,Barisal,BD.BA.BS,1142.147113,11690.96652,12833.11363,63,135,25561.49117,157020.5886,182582.0798,0,0,0,0,0,0,6,513673,1336,1138.074074,2,2474.074074,6,2324310,2.32431,1260,7740,9000,10585,73220,449780,523000,225.8610628,2,11067.19208,11293.05314,1711.111111,10511.11111,12222.22222,50.5971032,43.10123606,2,93.69833923,2784.5,0,0,0,0,0,0,0,85,10,1116,224,1376,1600,765683.2412,101976.6023,1386.597103,625051.6997,23896.23267,1368.008176
Barisal,2,Bhola,BD.BA.BL,369.7123604,3784.359105,4154.071465,63,856,0,0,0,0,0,0,0,0,0,0,372723,0,0,0,0,5,1776795,1.776795,9100,55900,65000,0,85960,528040,614000,0,0,0,0,0,0,0,0,0,0,0,3403.5,0,0,0,0,0,0,0,68,7,438,1008,6192,7200,690354.0715,96068,0,583940,3784.359105,369.7123604
Barisal,3,Borgona,BD.BA.BG,224.4682188,2297.646599,2522.114818,63,123,0,0,0,21,21,0,0,256.0498456,256.0498456,211,215842,0,0,0,0,4,892781,0.892781,2380,14620,17000,0,38640,237360,276000,0,0,0,0,0,0,0,0,0,0,0,1831.3,0,0,0,0,0,0,0,42,5,562,0,0,0,295778.1647,41020,0,251980,2553.696445,224.4682188
Barisal,4,Jhalakati,BD.BA.JK,211.2642059,2162.490917,2373.755123,63,94,0,0,0,0,0,0,0,0,0,37,158139,0,0,0,0,2,682669,0.682669,420,2580,3000,182.5,19180,117820,137000,0,0,0,0,0,0,0,0,0,0,0,706.8,0,0,0,0,0,0,0,32,4,455,0,0,0,142556.2551,19600,0,120400,2162.490917,211.2642059
Barisal,5,Patuakhali,BD.BA.PT,257.478251,2635.535805,2893.014056,63,510,8587.06344,52749.10399,61336.16743,0,0,0,0,0,0,239,346462,668,569.037037,1,1237.037037,5,1535854,1.535854,1540,9460,11000,0,67340,413660,481000,0,0,0,0,0,0,0,0,0,0,0,3221.3,0,0,0,0,0,0,0,71,7,878,0,0,0,557466.2185,77467.06344,668,475869.104,3204.572842,257.478251
Barisal,6,Pirojpur,BD.BA.PR,184.8561801,1892.179552,2077.035732,63,156,0,0,0,0,0,0,0,0,0,11,256002,0,0,0,0,3,1113257,1.113257,1820,11180,13000,730,31780,195220,227000,0,0,0,0,0,0,0,0,0,0,0,1277.8,0,0,0,0,0,0,0,51,7,648,0,0,0,242807.0357,33600,0,206400,1892.179552,184.8561801
Chittagong,7,Bandarbon,BD.CG.BD,217.8662123,2230.068758,2447.93497,63,2,5391.877044,33121.53042,38513.40746,1,0,1,242.6341742,0,242.6341742,9428,80102,0,0,0,0,2,388335,0.388335,420,2580,3000,0,6440,39560,46000,0,0,0,0,77.77777778,477.7777778,555.5555556,0,0,0,0,4479,0,0,0,0,0,0,0,30,7,1554,0,0,0,90759.53216,12329.65482,0,75739.3082,2230.068758,217.8662123
Chittagong,8,Brahmanbaria,BD.CG.BB,567.7725534,5811.694339,6379.466892,63,179,0,0,0,0,0,0,0,0,0,1037,538937,0,0,0,0,4,2840498,2.840498,3920,24080,28000,10037.5,73080,448920,522000,0,0,0,0,0,0,0,0,0,0,0,1881.2,278377,251,278628,0,0,0,278628,100,9,1323,1806,11094,12900,579316.9669,78806,0,473000,5811.694339,567.7725534
Chittagong,9,Chandpur,BD.CG.CP,620.5886049,6352.317068,6972.905673,63,336,0,0,0,1,0,1,242.6341742,0,242.6341742,6,506521,1336,1138.074074,2,2474.074074,7,2416018,2.416018,33880,208120,242000,8395,48580,298420,347000,0,0,0,0,0,0,0,0,0,0,0,1645.3,0,0,0,0,0,0,0,88,8,1230,938,5762,6700,613784.6139,83398,1336,506540,7490.391142,620.5886049
Chittagong,10,Chittagong,BD.CG.CT,2277.69222,23314.3552,25592.04742,63,410,17972.92349,110405.1014,128378.0249,319,21,298,72304.98392,256.0498456,72561.03377,2,1532014,8016,6828.444444,12,14844.44444,110,7616352,7.616352,6440,39560,46000,0,116480,715520,832000,6324.109758,56,309881.3782,316205.4879,1477.777778,9077.777778,10555.55556,885.449306,754.2716311,35,1639.720937,5282.9,0,0,0,"5,839,986.00","48,941,406.00","47,298,000.00",47298000,194,26,1267,0,0,0,1447776.315,142370.7013,8901.449306,874562.8792,340280.2277,8601.801978
Chittagong,11,Comilla,BD.CG.CM,1175.157145,12028.85572,13204.01287,63,177,20768.71157,127579.2282,148347.9398,17,7,10,2426.341742,85.34994854,2511.691691,163,1053572,2672,2276.148148,4,4948.148148,10,5387288,5.387288,34440,211560,246000,2007.5,159040,976960,1136000,112.9305314,1,5533.596039,5646.52657,2022.222222,12422.22222,14444.44444,227.6869644,193.9555623,9,421.6425265,3146.3,63596,24,63620,0,0,0,63620,185,16,3532,546,3354,3900,1577431.906,216816.9338,2899.686964,1328521.45,19923.94986,1288.087676
Chittagong,12,Cox's Bazar,BD.CG.CB,600.7825856,6149.583544,6750.36613,63,46,0,0,0,0,0,0,0,0,0,125,415954,0,0,0,0,4,2289990,2.28999,700,4300,5000,0,55440,340560,396000,0,0,0,0,0,0,0,0,0,0,0,2491.8,6504,105755,112259,0,0,0,112259,71,8,989,0,0,0,407750.3661,56140,0,344860,6149.583544,600.7825856
Chittagong,13,Feni,BD.CG.FN,409.324399,4189.826151,4599.15055,63,112,0,0,0,0,0,0,0,0,0,0,277665,668,569.037037,1,1237.037037,5,1437371,1.437371,420,2580,3000,0,46340,284660,331000,0,0,0,0,0,0,0,25.2985516,21.55061803,1,46.84916962,990.4,0,0,0,0,0,0,0,43,6,553,14,86,100,339983.0368,46774,693.2985516,287240,4758.863188,409.324399
Chittagong,14,Khagrachari,BD.CG.KG,211.2642059,2162.490917,2373.755123,63,0,11582.55069,71149.95422,82732.50491,0,0,0,0,0,0,33,133792,0,0,0,0,3,613917,0.613917,560,3440,4000,0,18200,111800,130000,0,0,0,0,622.2222222,3822.222222,4444.444444,0,0,0,0,2749.2,0,0,0,0,0,0,0,38,8,1702,0,0,0,223550.7045,30964.77291,0,190212.1764,2162.490917,211.2642059
Chittagong,15,Lakshmipur,BD.CG.LK,580.9765663,5946.850022,6527.826588,63,7,0,0,0,1,0,1,242.6341742,0,242.6341742,5,365339,0,0,0,0,4,1729188,1.729188,140,860,1000,182.5,52220,320780,373000,0,0,0,0,0,0,0,0,0,0,0,1440.4,0,0,0,0,0,0,0,58,5,547,0,0,0,380952.9608,52360,0,321640,5946.850022,580.9765663
