Received: FS.1, payload = |
Received: FM.2, payload = |1440.0 (Double) | 0.0 (Double) | 0.0 (Double) | 1.0E9 (Double) | 1 (Long) | 0 (Long) | 
Received: FM.3, payload = |Textile_production (String) | 0.9582892103645949 (Double) | 
Received: FM.3, payload = |Textile_consumption (String) | 0.8271894406493319 (Double) | 
Received: FM.3, payload = |Textile_export (String) | 0.3191679328791204 (Double) | 
Received: FM.3, payload = |Textile_import (String) | 0.8816076857391155 (Double) | 
Received: FM.3, payload = |Garment_production (String) | 1.8833605231286195 (Double) | 
Received: FM.3, payload = |Garment_consumption (String) | 0.16492218946632523 (Double) | 
Received: FM.3, payload = |Garment_export (String) | 1.8082691433121871 (Double) | 
Received: FM.3, payload = |Garment_import (String) | 0.09505957955608342 (Double) | 
Received: FM.3, payload = |Steel_production (String) | 1.510448840071263 (Double) | 
Received: FM.3, payload = |Steel_consumption (String) | 0.5705278766621578 (Double) | 
Received: FM.3, payload = |Steel_export (String) | 0.07648002158813427 (Double) | 
Received: FM.3, payload = |Steel_import (String) | 0.007745952449483025 (Double) | 
Received: FM.3, payload = |Brick_production (String) | 0.7858653697559949 (Double) | 
Received: FM.3, payload = |Brick_consumption (String) | 0.5705827758324448 (Double) | 
Received: FM.3, payload = |Brick_export (String) | 1.1635919728728545 (Double) | 
Received: FM.3, payload = |Brick_import (String) | 1.442320361486407 (Double) | 
Received: FM.3, payload = |Food_production (String) | 0.17269782461469935 (Double) | 
Received: FM.3, payload = |Food_consumption (String) | 0.5195330871289221 (Double) | 
Received: FM.3, payload = |Food_export (String) | 1.493807514812218 (Double) | 
Received: FM.3, payload = |Food_import (String) | 1.3295286026204751 (Double) | 
Received: FM.3, payload = |Textile_road (String) | 0.9356174851800889 (Double) | 
Received: FM.3, payload = |Textile_rail (String) | 0.1310512500849276 (Double) | 
Received: FM.3, payload = |Textile_waterway (String) | 0.9846513761649454 (Double) | 
Received: FM.3, payload = |Garment_road (String) | 0.1919132757966015 (Double) | 
Received: FM.3, payload = |Garment_rail (String) | 0.7150486078959912 (Double) | 
Received: FM.3, payload = |Garment_waterway (String) | 0.5049105066394854 (Double) | 
Received: FM.3, payload = |Steel_road (String) | 0.02980863843222451 (Double) | 
Received: FM.3, payload = |Steel_rail (String) | 0.8705749838583221 (Double) | 
Received: FM.3, payload = |Steel_waterway (String) | 0.6115456479786239 (Double) | 
Received: FM.3, payload = |Brick_road (String) | 0.20959544882146608 (Double) | 
Received: FM.3, payload = |Brick_rail (String) | 0.20756046420133134 (Double) | 
Received: FM.3, payload = |Brick_waterway (String) | 0.6437452245897802 (Double) | 
Received: FM.3, payload = |Food_road (String) | 0.13549727345232757 (Double) | 
Received: FM.3, payload = |Food_rail (String) | 0.016130255477415423 (Double) | 
Received: FM.3, payload = |Food_waterway (String) | 0.6105018813546079 (Double) | 
Received: FM.3, payload = |Flood_area (String) | 1993-0045 (String) | 
Received: FM.3, payload = |Flood_duration (String) | 3.0928279382955575 (Double) | 
Received: FM.3, payload = |Damage_road_n (String) | 9.787313507413705E-7 (Double) | 
Received: FM.3, payload = |Damage_road_r (String) | 0.0018124205455330997 (Double) | 
Received: FM.3, payload = |Damage_road_z (String) | 0.16046042945886652 (Double) | 
Received: FM.3, payload = |Damage_bridge_a (String) | 4.1611116323751E-4 (Double) | 
Received: FM.3, payload = |Damage_bridge_b (String) | 0.006509432566159893 (Double) | 
Received: FM.3, payload = |Damage_bridge_c (String) | 0.0585499981925101 (Double) | 
Received: FM.3, payload = |Damage_bridge_d (String) | 0.211104305198894 (Double) | 
Received: FM.3, payload = |Damage_waterway_1 (String) | 0.018201031291933626 (Double) | 
Received: FM.3, payload = |Damage_waterway_2 (String) | 4.269367417233069E-4 (Double) | 
Received: FM.3, payload = |Damage_waterway_3 (String) | 0.02186336672790416 (Double) | 
Received: FM.3, payload = |Damage_waterway_4 (String) | 0.0015069462588182465 (Double) | 
Received: FM.3, payload = |Damage_ferry (String) | 0.02753779974709163 (Double) | 
Received: FM.3, payload = |Damage_ports (String) | 0.0222760417438383 (Double) | 
Received: FM.3, payload = |Damage_terminals (String) | 0.00488090475115094 (Double) | 
Received: FM.3, payload = |Damage_railways (String) | 0.0028905593446749566 (Double) | 
Received: FM.3, payload = |Damage_railstations (String) | 0.027886428006991267 (Double) | 
Received: FM.4, payload = |
