lrp,lat,lon,type,name,district,roadId,chainage,gapPoint
N1_LRP001,23.7021389,90.4519722,KmPost,Km post missing,DH,N1,1,ROAD
N1_LRP002,23.6978886,90.4605833,KmPost,Km post missing,DH,N1,2,ROAD
N1_LRP002a,23.6973608,90.4616667,Culvert,Box culvert,DH,N1,2.13,ROAD
N1_LRP003,23.693833,90.4691382,KmPost,Km post missing,DH,N1,3,ROAD
N1_LRP004,23.6936108,90.4787771,KmPost,Km post missing,NY,N1,4,ROAD
N1_LRP004a,23.6938052,90.4805271,"SideRoad,Right",Road to Narayanganj(R111),NY,N1,4.175,ROAD
N1_LRP005,23.6947497,90.4884997,KmPost,Km post missing,NY,N1,5,ROAD
N1_LRP006,23.6959163,90.4981941,KmPost,Km post missing,NY,N1,6,ROAD
N1_LRP007,23.697333,90.50775,KmPost,Km post missing,NY,N1,7,ROAD
N1_LRP007a,23.6979163,90.5092778,CrossRoad,"R110,Left to Demra, Right to Narayanganj",NY,N1,7.181,ROAD
N1_LRP008,23.7020556,90.5157222,KmPost,Km post missing,NY,N1,8,ROAD
N1_LRP008a,23.7021111,90.5157778,Bridge,Kachpur bridge,NY,N1,8.011,BRIDGE_START
N1_LRP008b,23.7045833,90.5188327,Bridge,Bridge end,NY,N1,8.429,BRIDGE_END
N1_LRP009,23.7050278,90.5193327,KmPost,"Chittagong 251 km,Comilla 84 km",NY,N1,8.503,ROAD
N1_LRP009a,23.7060833,90.5215271,"SideRoad,Left",Road to Sylhet (N2),NY,N1,8.763,ROAD
N1_LRP010,23.7025278,90.5273882,KmPost,Km post missing,NY,N1,9.503,ROAD
N1_LRP010a,23.7015278,90.5281938,Culvert,Box culvert,NY,N1,9.615,ROAD
N1_LRP010b,23.6998608,90.5307216,Culvert,Box culvert,NY,N1,9.963,ROAD
N1_LRP010c,23.6974163,90.5337774,Culvert,Box culvert,NY,N1,10.377,ROAD
N1_LRP011,23.6966386,90.5348052,KmPost,Km post missing,NY,N1,10.503,ROAD
N1_LRP011a,23.6943608,90.5376108,Culvert,Box culvert,NY,N1,10.885,ROAD
N1_LRP011b,23.6922774,90.5410552,Culvert,Box culvert,NY,N1,11.313,ROAD
N1_LRP012,23.6918052,90.5426108,KmPost,"Chittagong 248 km,Comilla 81 km",NY,N1,11.497,ROAD
N1_LRP012a,23.6911108,90.5448886,Bridge,Bridge start,NY,N1,11.745,BRIDGE_START
N1_LRP012b,23.6910552,90.5451386,Bridge,Bridge end,NY,N1,11.771,BRIDGE_END
N1_LRP012c,23.6904163,90.546583,"SideRoad,Right",Right to Syedpur (R113) left to Joydebpur N105),NY,N1,11.936,ROAD
N1_LRP013,23.6865274,90.5504167,KmPost,"Ctg 247 km,Comilla 80 km",NY,N1,12.524,ROAD
N1_LRP013a,23.6854997,90.5512778,Culvert,Box culvert,NY,N1,12.672,ROAD
N1_LRP014,23.678166,90.5556111,KmPost,Km post missing,NY,N1,13.524,ROAD
N1_LRP015,23.670916,90.5597778,KmPost,Km post missing,NY,N1,14.524,ROAD
N1_LRP015a,23.6705827,90.5599722,Culvert,Box culvert,NY,N1,14.563,ROAD
N1_LRP016,23.6628333,90.5641111,KmPost,Km post missing,NY,N1,15.524,ROAD
N1_LRP016a,23.6604167,90.5671104,"SideRoad,Right",Road to MinanbariZ1061),NY,N1,15.935,ROAD
N1_LRP016b,23.6591111,90.5697216,Bridge,Langalbandhu bridge,NY,N1,16.242,BRIDGE_START
N1_LRP016c,23.6583056,90.5709993,Bridge,Bridge end,NY,N1,16.402,BRIDGE_END
N1_LRP017,23.6575,90.5719716,KmPost,Km post missing,NY,N1,16.524,ROAD
N1_LRP017a,23.6559722,90.5743327,Bridge,Bridge start,NY,N1,16.831,BRIDGE_START
N1_LRP017b,23.6559167,90.5745271,Bridge,Bridge end,NY,N1,16.852,BRIDGE_END
N1_LRP017c,23.6540556,90.5772771,Bridge,Bridge start,NY,N1,17.204,BRIDGE_START
N1_LRP017d,23.6539167,90.5774993,Bridge,Bridge end,NY,N1,17.234,BRIDGE_END
N1_LRP018,23.6525278,90.5798882,KmPost,Km post missing,NY,N1,17.524,ROAD
N1_LRP018a,23.6508889,90.5826382,Bridge,Bridge start,NY,N1,17.863,BRIDGE_START
N1_LRP018b,23.6506944,90.5829993,Bridge,Bridge end,NY,N1,17.904,BRIDGE_END
N1_LRP019,23.6476108,90.588083,KmPost,Km post missing,NY,N1,18.524,ROAD
N1_LRP019a,23.6449441,90.5899163,Culvert,Box culvert,NY,N1,18.878,ROAD
N1_LRP019b,23.6397497,90.5926941,Culvert,Box culvert,NY,N1,19.521,ROAD
N1_LRP020,23.6396941,90.5927219,KmPost,Km post missing,NY,N1,19.524,ROAD
N1_LRP020a,23.6358608,90.5948052,"SideRoad,Left",Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),NY,N1,20.044,ROAD
N1_LRP020b,23.6341108,90.5970274,Bridge,Bridge start,NY,N1,20.342,BRIDGE_START
N1_LRP020c,23.6335552,90.5976941,Bridge,Bridge end,NY,N1,20.442,BRIDGE_END
N1_LRP021,23.6330549,90.5982774,KmPost,Km post missing,NY,N1,20.524,ROAD
N1_LRP021a,23.6262771,90.6042222,Culvert,Box culvert,NY,N1,21.499,ROAD
N1_LRP022,23.6252216,90.6049722,KmPost,"Ctg 238 km,Comilla 71 km",NY,N1,21.629,ROAD
N1_LRP022a,23.6242216,90.6055278,Bridge,Bridge start,NY,N1,21.765,BRIDGE_START
N1_LRP022b,23.6224993,90.6066944,Bridge,Bridge end,NY,N1,21.993,BRIDGE_END
N1_LRP022c,23.6204716,90.6079722,Bridge,Bridge start,NY,N1,22.252,BRIDGE_START
N1_LRP022d,23.6195271,90.6085833,Bridge,Bridge end,NY,N1,22.374,BRIDGE_END
N1_LRP023,23.6173604,90.6096944,KmPost,Km post missing,NY,N1,22.629,ROAD
N1_LRP023a,23.6095556,90.6121944,Bridge,Meghna  bridge,NY,N1,23.564,BRIDGE_START
N1_LRP024a,23.6018611,90.6159722,Bridge,Bridge end,MU,N1,24.503,BRIDGE_END
N1_LRP025,23.6009444,90.6165556,KmPost,Km post missing,MU,N1,24.629,ROAD
N1_LRP026,23.5959997,90.624666,KmPost,Km post missing,MU,N1,25.629,ROAD
N1_LRP026a,23.5959441,90.6246938,Culvert,Box culvert,MU,N1,25.639,ROAD
N1_LRP026b,23.5917497,90.6293327,Culvert,Box culvert,MU,N1,26.313,ROAD
N1_LRP027,23.5896108,90.6313882,KmPost,Km post missing,MU,N1,26.629,ROAD
N1_LRP027a,23.5837497,90.6369441,Bridge,Bridge start,MU,N1,27.503,BRIDGE_START
N1_LRP028a,23.5825827,90.6381386,Bridge,Bridge end,MU,N1,27.668,BRIDGE_END
N1_LRP028b,23.577916,90.6419719,Bridge,Bridge start,MU,N1,28.324,BRIDGE_START
N1_LRP028c,23.5776104,90.6421108,Bridge,Bridge end,MU,N1,28.363,BRIDGE_END
N1_LRP029,23.5745271,90.6436941,KmPost,Information missing,MU,N1,28.759,ROAD
N1_LRP029a,23.572166,90.6451108,Bridge,Bridge start,MU,N1,29.067,BRIDGE_START
N1_LRP029b,23.5718327,90.6453052,Bridge,Bridge end,MU,N1,29.113,BRIDGE_END
N1_LRP030,23.5666111,90.6481663,KmPost,Km post missing,MU,N1,29.759,ROAD
N1_LRP030a,23.5639167,90.6501944,Bridge,Bridge start,MU,N1,30.127,BRIDGE_START
N1_LRP030b,23.5636944,90.6504722,Bridge,Bridge end,MU,N1,30.165,BRIDGE_END
