"terminalId", "terminalName", "waterwayNodeId", "lrpId", "districtCode2"
"BB:WW.403", "BB:Meghna (WW.403)", "WW.403", "N213_LRPE", "BB"
"BD:WW.1388", "BD:Sangu River (WW.1388)", "WW.1388", "N108_LRP022", "BD"
"BG:WW.518", "BG:Payra (WW.518)", "WW.518", "R880_LRP032a", "BG"
"BH:WW.569", "BH:Mongla (WW.569)", "WW.569", "Z7717_LRP023b", "BH"
"BL:WW.437", "BL:Arial Khan (WW.437)", "WW.437", "N809_LRP041b", "BL"
"BO:WW.875", "BO:Bangali (WW.875)", "WW.875", "Z5032_LRP021", "BO"
"BS:WW.272", "BS:Kirtankhola (WW.272)", "WW.272", "N801_LRPS", "BS"
"CB:WW.762", "CB:Bay of Bengal (WW.762)", "WW.762", "Z1099_LRPS", "CB"
"CD:WW.1700", "CD:Nabaganga (WW.1700)", "WW.1700", "R745_LRP087", "CD"
"CM:WW.14", "CM:Meghna River Branch (WW.14)", "WW.14", "Z1055_LRPE", "CM"
"CP:WW.472", "CP:Meghna (WW.472)", "WW.472", "Z1069_LRP019", "CP"
"CT:WW.606", "CT:Karnaphuli (WW.606)", "WW.606", "N1_LRP249a", "CT"
"DH:WW.1047", "DH:Turag River (WW.1047)", "WW.1047", "N302_LRPS", "DH"
"DJ:WW.1120", "DJ:Atrai (WW.1120)", "WW.1120", "R585_LRP091", "DJ"
"FN:WW.1259", "FN:Dakatia (WW.1259)", "WW.1259", "N104_LRP007", "FN"
"FR:WW.818", "FR:Kumar River Branch (WW.818)", "WW.818", "N804_LRP025a", "FR"
"GB:WW.124", "GB:Brahmaputra (WW.124)", "WW.124", "Z5552_LRP018b", "GB"
"GG:WW.964", "GG:Kumar (WW.964)", "WW.964", "R850_LRP002", "GG"
"GZ:WW.460", "GZ:Shitalakshya (WW.460)", "WW.460", "R317_LRPSa", "GZ"
"HA:WW.736", "HA:Kushiyara River (WW.736)", "WW.736", "N207_LRP068", "HA"
"JK:WW.273", "JK:Kirtankhola (WW.273)", "WW.273", "R870_LRP003c", "JK"
"JM:WW.527", "JM:Brahmaputra (WW.527)", "WW.527", "Z4801_LRP020", "JM"
"JN:WW.455", "JN:Nabaganga (WW.455)", "WW.455", "N704_LRPSb", "JN"
"JS:WW.1440", "JS:Chitra River (WW.1440)", "WW.1440", "N702_LRP013", "JS"
"KG:WW.1522", "KG:Chengi (WW.1522)", "WW.1522", "R162_LRP061", "KG"
"KL:WW.238", "KL:Rupsha (WW.238)", "WW.238", "N709_LRP022b", "KL"
"KR:WW.621", "KR:Torsa (WW.621)", "WW.621", "Z5624_LRP005b", "KR"
"KS:WW.847", "KS:Meghna River Branch (WW.847)", "WW.847", "R360_LRP091", "KS"
"KU:WW.328", "KU:Madhumati River (WW.328)", "WW.328", "N704_LRP048", "KU"
"LK:WW.1361", "LK:Lakshmipur Khal (WW.1361)", "WW.1361", "N809_LRP057a", "LK"
"LL:WW.100", "LL:Teesta (WW.100)", "WW.100", "N509_LRP057", "LL"
"MD:WW.1408", "MD:Arial Khan (WW.1408)", "WW.1408", "R860_LRP010", "MD"
"MG:WW.330", "MG:Nabaganga (WW.330)", "WW.330", "N7_LRP086", "MG"
"MK:WW.31", "MK:Brahmaputra (WW.31)", "WW.31", "N503_LRPE", "MK"
"MM:WW.257", "MM:Brahmaputra River Branch (WW.257)", "WW.257", "N309_LRPS", "MM"
"MU:WW.5", "MU:Dhaleshwari (WW.5)", "WW.5", "R814_LRPSa", "MU"
"NA:WW.1149", "NA:Little Jamuna River (WW.1149)", "WW.1149", "N516_LRP002b", "NA"
"NK:WW.943", "NK:Someshwari (WW.943)", "WW.943", "Z3708_LRPS", "NK"
"NP:WW.97", "NP:Teesta (WW.97)", "WW.97", "R560_LRP051b", "NP"
"NR:WW.724", "NR:Madhumati River (WW.724)", "WW.724", "N806_LRP004", "NR"
"NS:WW.947", "NS:Meghna River Branch (WW.947)", "WW.947", "N2_LRP058", "NS"
"NT:WW.1201", "NT:Gumani (WW.1201)", "WW.1201", "N502_LRP055a", "NT"
"NY:WW.389", "NY:Meghna (WW.389)", "WW.389", "R203_LRP018a", "NY"
"PB:WW.632", "PB:Gumani (WW.632)", "WW.632", "N5_LRP124", "PB"
"PC:WW.582", "PC:Karnaphuli (WW.582)", "WW.582", "N106_LRP069", "PC"
"PR:WW.38", "PR:Balaswar (WW.38)", "WW.38", "R870_LRP051c", "PR"
"PT:WW.840", "PT:Galaschipa (WW.840)", "WW.840", "Z8804_LRP009", "PT"
"RB:WW.703", "RB:Madhumati River (WW.703)", "WW.703", "Z7405_LRPE", "RB"
"RP:WW.410", "RP:Teesta (WW.410)", "WW.410", "N506_LRP021b", "RP"
"RS:WW.252", "RS:Padma (WW.252)", "WW.252", "N605_LRPS", "RS"
"SL:WW.266", "SL:Kushiyara River (WW.266)", "WW.266", "N208_LRP036a", "SL"
"SN:WW.130", "SN:Kushiyara River (WW.130)", "WW.130", "R241_LRP016b", "SN"
"SP:WW.1211", "SP:Brahmaputra River Branch (WW.1211)", "WW.1211", "R460_LRP006", "SP"
"SR:WW.309", "SR:Brahmaputra (WW.309)", "WW.309", "R450_LRP009", "SR"
"ST:WW.343", "ST:Shibsa River Branch (WW.343)", "WW.343", "Z7603_LRP037", "ST"
"TA:WW.531", "TA:Brahmaputra (WW.531)", "WW.531", "R480_LRPE", "TA"
