Flood_id;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;Districts;
NON_FLOODED;;;;;;;;;;;;;;;;;;;;;;;;;
1986-0096;RS;;;;;;;;;;;;;;;;;;;;;;;;
2004-0298;BB;CM;CP;KR;RP;GB;BO;NA;PB;SR;SL;DH;;;;;;;;;;;;;
2007-0311;RB;MU;BD;FN;CM;SR;RP;;;;;;;;;;;;;;;;;;
1995-0101;CT;BL;CB;BH;NO;PT;;;;;;;;;;;;;;;;;;;
2007-0161;CT;;;;;;;;;;;;;;;;;;;;;;;;
2005-0375;KR;GB;LL;RP;NP;SP;JM;DH;MU;MD;SR;BO;;;;;;;;;;;;;
1999-0225;CM;LL;MU;MK;KU;RS;BO;KR;GB;NP;LL;CT;;;;;;;;;;;;;
1995-0487;CT;KL;DH;BS;;;;;;;;;;;;;;;;;;;;;
1999-0736;BL;BS;PT;;;;;;;;;;;;;;;;;;;;;;
1991-0224;RP;;;;;;;;;;;;;;;;;;;;;;;;
2012-0175;CT;BD;CB;SL;;;;;;;;;;;;;;;;;;;;;
1964-0039;RP;CM;;;;;;;;;;;;;;;;;;;;;;;
1995-0243;DJ;PN;RP;NP;GB;NT;NA;BO;;;;;;;;;;;;;;;;;
1987-0132;RP;NK;GB;NA;KR;JM;CB;CT;NO;;;;;;;;;;;;;;;;
2016-0288;KR;BO;SR;GB;TA;JM;NP;LL;FR;KU;MD;MK;RB;RP;SA;;;;;;;;;;
2004-0509;DH;FR;GG;LK;BO;RS;NA;SR;GB;KR;;;;;;;;;;;;;;;
2014-0581;BO;NA;JM;NK;GB;BB;;;;;;;;;;;;;;;;;;;
1996-0104;KR;GB;BO;SR;TA;PB;MK;MU;DH;SA;MD;GG;RB;FR;LL;NP;;;;;;;;;
1999-0277;CB;CT;BD;;;;;;;;;;;;;;;;;;;;;;
1990-0609;RS;SR;JM;BO;PB;;;;;;;;;;;;;;;;;;;;
1991-0764;SL;;;;;;;;;;;;;;;;;;;;;;;;
2008-0285;CB;CT;;;;;;;;;;;;;;;;;;;;;;;
1995-0100;SL;MB;NK;SR;GB;JM;PB;KR;RP;MD;FN;PN;LL;TA;GG;BO;;;;;;;;;
2012-0382;BS;BL;PT;DH;FR;JM;MD;MK;RB;SA;TA;BO;PB;SR;GB;KR;;;;;;;;;
1994-0754;BS;;;;;;;;;;;;;;;;;;;;;;;;
2002-0402;NK;SP;RP;NP;KR;GB;NO;LK;CB;JS;BL;BS;PT;RS;;;;;;;;;;;
2014-0290;LL;KR;NP;RP;GB;BO;SR;SL;SP;NK;MU;JM;TA;FR;MK;RB;BL;PT;FN;CT;;;;;
1998-0203;JM;SP;HA;RP;SR;MK;PB;RB;RS;KR;FR;NP;GB;LL;KG;CT;FN;CM;CB;TA;NT;;;;
1993-0028;HA;SL;MB;FN;CT;CB;;;;;;;;;;;;;;;;;;;
2001-0459;SL;NW;RS;;;;;;;;;;;;;;;;;;;;;;
2009-0304;CM;CT;DH;RS;BS;KL;SL;;;;;;;;;;;;;;;;;;
1993-0045;BO;SR;NK;PB;SR;SL;BB;HA;CB;FN;CM;KG;BD;MB;HA;;;;;;;;;;
1988-0294;NK;BO;MB;HA;RP;;;;;;;;;;;;;;;;;;;;
1985-0299;RP;KR;;;;;;;;;;;;;;;;;;;;;;;
1993-0196;CT;DH;;;;;;;;;;;;;;;;;;;;;;;
2005-0590;NA;GB;RP;NP;DJ;;;;;;;;;;;;;;;;;;;;
2010-0269;NK;KR;GB;LL;SL;;;;;;;;;;;;;;;;;;;;
2005-0261;MB;HA;;;;;;;;;;;;;;;;;;;;;;;
1992-0190;KS;BB;;;;;;;;;;;;;;;;;;;;;;;
2015-0293;BS;CT;KL;;;;;;;;;;;;;;;;;;;;;;
2001-0393;NP;BB;SL;;;;;;;;;;;;;;;;;;;;;;
2015-0253;BD;CT;CB;;;;;;;;;;;;;;;;;;;;;;
2000-0373;CB;;;;;;;;;;;;;;;;;;;;;;;;
1985-0012;MB;SL;;;;;;;;;;;;;;;;;;;;;;;
2011-0262;CB;CT;BD;JS;NR;BH;BO;SR;PB;NA;LL;TH;KR;GB;SP;NK;RB;MK;;;;;;;
1989-0119;SL;BD;CB;CT;;;;;;;;;;;;;;;;;;;;;
2003-0303;CT;FN;CB;LK;CM;BL;NK;JM;SL;;;;;;;;;;;;;;;;
2006-0502;JS;KL;;;;;;;;;;;;;;;;;;;;;;;
1990-0095;HA;NO;;;;;;;;;;;;;;;;;;;;;;;
1992-0213;CT;CB;;;;;;;;;;;;;;;;;;;;;;;
2010-0676;CT;CB;FN;LK;NO;BH;KL;BS;;;;;;;;;;;;;;;;;
2008-0385;BO;SR;;;;;;;;;;;;;;;;;;;;;;;
2003-0283;MB;HA;SL;LL;KR;RP;NP;GB;CM;FN;SR;BO;PB;RS;NW;JM;TA;MK;MU;KS;RB;MD;CP;FR;DH
2009-0294;HA;;;;;;;;;;;;;;;;;;;;;;;;
