road,chainage,newcat,new,oldcat,comment
N1,380.346,A,,C,Bakkhali Bridge
N1,381.985,A,,C,BESIC AREA
N1,382.055,A,,C,BASIC ARIA (1)
N1,382.649,A,,C,KAMBIR GONA
N1,383.098,A,,B,HAMBIR GONA (1)
N1,383.269,A,,C,HAMBIR GONA-(2)
N1,384.358,A,,B,SOUTH MITTA CHORI
N1,384.788,A,,B,SOUTH MITHACHARI
N1,386.07,A,,D,SHAMMOTI PARA
N1,387.23,A,,C,RAKALAN PARA STEEL BEAM AND RCC SLAB
N1,387.398,A,,C,CHALIYA TOLI -2 ARCH MASONRY
N1,388.328,A,,C,PANCHORA STEEL BEAM AND RCC SLAB
N1,388.565,A,,C,PANAR CHORH -3 SLAB CULVERT
N1,388.733,A,,B,PANCHARA SLAB CULVERT
N1,388.886,A,,C,PANCHARA SLAB CULVERT
N1,388.956,A,,C,PANCHARA SLAB CULVERT
N1,389.101,A,,B,PANAR CHORA SLAB CULVERT
N1,389.258,A,,B,PANCHORI SLAB CULVERT
N1,389.684,A,,B,DALA -2 SLAB CULVERT
N1,389.899,A,,C,DALA-3 SLAB CULVERT
N1,390.356,A,,C,DHALLA SLAB CULVERT
N1,390.814,A,,C,PANCR CHAR SLAB CULVERT
N1,391.031,A,,C,TULA BAGAN SLAB CULVERT
N1,391.664,A,,B,PARARHORA CULVERT
N1,391.997,A,,C,TULA BAGUN
N1,392.093,A,,B,TULA BAGAN
N1,392.422,A,,B,TOLA BAGAN
N1,392.742,A,,C,NORTH CONIAPARA
N1,393.764,A,,C,Modomconiara
N1,394.307,A,,C,CONIA PARA
N1,395.328,A,,B,KHONIA POLONG.
N1,395.64,A,,C,DOA PATONG
N1,396.596,A,,C,JASOYA PALONG
N1,397.144,A,,C,JASOYA PALONG RCC GIDER BRIDGE
N1,397.591,A,,D,MORICHIA
N1,397.679,A,,B,Jasoya check post.
N1,398.406,A,,C,MARIECHA BAZAR
N1,399.452,A,,B,MORICHIA PALONG
N1,400.027,A,,C,MORICHIA PALONG
N1,400.46,A,,D,SHAPUR STEEL BEAM AND RCC SLAB
N1,401.89,A,,B,COTBAZR MUSLIM HOS
N1,404.393,A,,C,EJILA
N1,404.487,A,,C,HIZOLIA BRIDGE
N1,404.774,A,,C,MODDO RAJAPALONG
N1,405.728,A,,C,JADIMURA BRIDGE
N1,406.791,A,,C,WEST OGALA
N1,407.239,A,,C,OKYIA STATION
N1,407.785,A,,C,UKLIA-SHAHABMARKAT
N1,408.235,A,,B,UKHIYA BAZAR
N1,412.008,A,,C,KUTUB PALONG
N1,412.931,A,,B,KUTU - PALONG MOSZID SLAB
N1,413.235,A,,C,KOSHO - BINNA - BRIDGE
N1,413.43,A,,C,KASHO - BINNAI SLAB
N1,416.057,A,,C,Balukali Old bus Stand Bridge
N1,416.966,A,,B,BALUKHALI
N1,417.29,A,,D,Balukhali Boro Bridge
N1,417.29,A,,D,BALUKHAKI
N1,418.76,A,,C,THANGKHALI BOX CULVERT
N1,419.036,A,,B,THANG KHALI BOX CULVERT
N1,419.278,A,,C,THANG KHALI BRIDGE
N1,419.278,A,,D,Thang Khali Bridge
N1,419.63,A,,C,CHANG KHALI BRIDGE
N1,419.88,A,,B,CHANG KHALI BRIDGE
N1,420.093,A,,B,JAM TOLI BRIDGE
N1,420.093,A,,C,Jam Toli Bridge
N1,420.406,A,,B,DAIM PARA BRIDGE
N1,420.537,A,,C,DAIM PARA CULVERT
N1,420.952,A,,C,DAIM PARA CULVERT
N1,421.358,A,,C,PALONG KHALI CULVERT
N1,422.081,A,,C,PALONG KHALI BAZAR (1)
N1,422.447,A,,C,PALONG KHALI BAZAR BRIDGE
N1,422.447,A,,C,Palong Khali Bazar Bridge
N1,422.784,A,,C,PALONG KHALI RCC GIDER BRIDGE
N1,423.442,A,,B,KARUN TOLI RCC GIDER BRIDGE
N1,423.67,A,,C,GIRA TALI RCC GIDER BRIDGE
N1,423.67,A,,C,Karontoli Bridge
N1,424.395,A,,C,GIVATOLI RCC GIDER BRIDGE
N1,424.577,A,,D,Kata Khali Bridge
N1,424.577,A,,D,KATA KHALI RCC GIDER BRIDGE
N1,424.783,A,,C,ULI BANIA BOX CULVERT
N1,425.267,A,,B,KHARA KANDI RCC GIDER BRIDGE
N1,425.267,A,,C,Porbo Kata Khali Bridge
N1,425.715,A,,C,ULIBANIA BOX CULVERT
N1,426.555,A,,B,BALUR KHALI -(1) RCC GIDER BRIDGE
N1,426.881,A,,C,BALU KHALI -2 BOX CULVERT
N1,426.915,A,,B,BALU KHALI-3 BOX CULVERT
N1,426.915,A,,D,Balu Khali Bridge
N1,427.231,A,,B,WHIKE KANG BOX CULVERT
N1,427.622,A,,D,Wheke Kang Bridge
N1,427.918,A,,C,MOA EX-KANG-BAZAR
N1,427.918,A,,C,Moa Ex Kang Bridge
N1,428.095,A,,B,Hoacx Kang Barbar Bridge
N1,428.095,A,,C,HOACX KANG BARAR
N1,429.081,A,,B,TAS SE BRIDGE HOANGK
N1,429.081,A,,D,Tasse Bridge
N1,430.582,A,,C,LAMBA BIL BOX
N1,430.978,A,,C,Unchi-Prong Bridge
N1,433.178,A,,B,KHAN GOR PARA BRIDGE
N1,434.37,A,,C,NOYA PARA (1) BRIDGE
N1,435.013,A,,B,GIMON KHALI BRIDGE
N1,435.22,A,,C,GIM - MOGARI BRIDGE
N1,435.22,A,,C,Gim-mogari Bridge
N1,436.388,A,,B,NOYA BAZAR BRIDGE
N1,436.388,A,,C,Noya Bazar(1) Bridge
N1,436.6,A,,C,NOYA BAZAR CULVERT
N1,436.789,A,,B,NAYA BAZAR BRIDGE
N1,436.789,A,,D,Naya Bazar(2) Bridge
N1,437.063,A,,B,NAYA BAZAR BRIDGE
N1,437.063,A,,C,Naya Bazar(3) Bridge
N1,437.484,A,,C,KHARANG KHALI - BOX CUVERT (1)
N1,437.961,A,,C,KHARANG KHAIL
N1,438.506,A,,C,MOULIVI BAZAR FISHARI BRIDGE
N1,439.007,A,,C,MOULOVI BAZAR BOX CULVERT (1)
N1,439.235,A,,C,MOULOVI BAZAR BOX CULVERT
N1,440.028,A,,B,NILA - HOAB RABG BRIDGE
N1,440.028,A,,C,Nila-Hoab Rabg Bridge
N1,443.024,A,,B,CHOUDORIY PARA RCC GIDER BRIDGE
N1,443.024,A,,C,Chowdhory Para Bridge
N1,443.564,A,,B,RONGI HALI BOX CULVERT
N1,444.315,A,,C,RONGI- KHALI RCC GIDER BRIDGE
N1,444.315,A,,C,Rongi-Khali Bridge
N1,445.478,A,,C,ALA KHALI KUNA PARA
N1,445.478,A,,C,Ala Khali Kuna Para Bridge
N1,446.435,A,,C,LADA BAZAR BOX CULVERT
N1,446.71,A,,C,LADAPARA RCC GIDER BRIDGE
N1,447.401,A,,B,NOYAPARA RCC GIDER BRIDGE
N1,447.401,A,,C,Noya Para Bridge
N1,448.054,A,,B,MOSINNI RCC GIDER BRIDGE
N1,448.054,A,,B,Mosinni Mor Bridge
N1,449.101,A,,B,JADIMURA (NOYA PARA)BRIDGE
N1,449.101,A,,C,Jadirghat Bridge
N1,450.446,A,,C,DOMDO MIA BRIDGE
N1,451.328,A,,C,DHANDO MIA
N1,451.328,A,,C,Dhando Mia Bridge
N1,451.984,A,,B,DONDO MIA CHAK POST BRIDGE
N1,451.984,A,,B,Dondo Mia Checkpost Bridge
N1,452.561,A,,B,DOMDO MIA BRIDGE
N1,452.624,A,,B,DOMDO MIA
N1,453.05,A,,C,DONOMIA
N1,453.05,A,,C,Domdomia Bridge (3)
N1,453.372,A,,D,DONMIA
N1,453.95,A,,B,KARUMTOLI
N1,453.95,A,,C,Karumtoli Bridge
