road,lrp1,lrp2,name,gap,newspeed,newclass
N405,N405_LRPS,N405_LRPSa,N405_LRPS-N405_LRPSa,ROAD,70,X
N405,N405_LRPSa,N405_LRPSb,N405_LRPSa-N405_LRPSb,ROAD,70,X
N405,N405_LRPSb,N405_LRP001,N405_LRPSb-N405_LRP001,ROAD,70,X
N405,N405_LRP001,N405_LRP001a,N405_LRP001-N405_LRP001a,ROAD,70,X
N405,N405_LRP001a,N405_LRP001b,N405_LRP001a-N405_LRP001b,ROAD,70,X
N405,N405_LRP001b,N405_LRP001c,N405_LRP001b-N405_LRP001c,BRIDGE,70,X
N405,N405_LRP001c,N405_LRP002,N405_LRP001c-N405_LRP002,ROAD,70,X
N405,N405_LRP002,N405_LRP002a,N405_LRP002-N405_LRP002a,ROAD,70,X
N405,N405_LRP002a,N405_LRP002b,N405_LRP002a-N405_LRP002b,BRIDGE,70,X
N405,N405_LRP002b,N405_LRP002c,N405_LRP002b-N405_LRP002c,ROAD,70,X
N405,N405_LRP002c,N405_LRP002d,N405_LRP002c-N405_LRP002d,BRIDGE,70,X
N405,N405_LRP002d,N405_LRP003a,N405_LRP002d-N405_LRP003a,ROAD,70,X
N405,N405_LRP003a,N405_LRP003b,N405_LRP003a-N405_LRP003b,ROAD,70,X
N405,N405_LRP003b,N405_LRP003c,N405_LRP003b-N405_LRP003c,BRIDGE,70,X
N405,N405_LRP003c,N405_LRP004,N405_LRP003c-N405_LRP004,ROAD,70,X
N405,N405_LRP004,N405_LRP004a,N405_LRP004-N405_LRP004a,ROAD,70,X
N405,N405_LRP004a,N405_LRP004b,N405_LRP004a-N405_LRP004b,ROAD,70,X
N405,N405_LRP004b,N405_LRP005,N405_LRP004b-N405_LRP005,ROAD,70,X
N405,N405_LRP005,N405_LRP005a,N405_LRP005-N405_LRP005a,ROAD,70,X
N405,N405_LRP005a,N405_LRP005b,N405_LRP005a-N405_LRP005b,ROAD,70,X
N405,N405_LRP005b,N405_LRP005c,N405_LRP005b-N405_LRP005c,BRIDGE,70,X
N405,N405_LRP005c,N405_LRP006,N405_LRP005c-N405_LRP006,ROAD,70,X
N405,N405_LRP006,N405_LRP006a,N405_LRP006-N405_LRP006a,ROAD,70,X
N405,N405_LRP006a,N405_LRP006b,N405_LRP006a-N405_LRP006b,BRIDGE,70,X
