,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.BA.BS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.BL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.BD,2.2213043742,0.873224384051,0.500832461085,0.526914996812,0.80004839727,0.779258867363,0.0,5.36967989611,3.8907042504,1.5251275584,8.0597678866,0.163257656919,0.833238052216,0.267271762022,1.45306695354,1.65339563756,0.149416216099,51.6395129191,3.39670591806,11.581718604,1.5081836173,2.97444641576,5.06551807323,1.89203460835,3.39016146063,5.06478885244,31.2012599108,6.97360613538,8.22707127222,2.92580584092,1.68031448381,2.0907691666,17.1686547292,6.99249061896,1.06825132408,1.21134921956,2.79171911216,2.01988077656,1.74784490831,2.35583360211,1.21458200457,0.690554371383,0.848181205872,1.43107800176,4.18505916229,0.982047787562,2.69238947452,2.09209577883,1.55807741008,3.69661911348,2.73652004333,4.74328962429,2.78337664924,2.61324873231,2.0196872384,1.12992270908,1.62650678779,0.821225632673,2.81481612664,1.17546871528,2.42232262251,1.58258400511,2.58057129573,2.71740118706
BD.CG.BB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.CP,1.75508292272,1.4322610434,0.848251997543,0.59899064676,1.36677760945,1.08410711949,0.389900456441,4.50401524626,0.0,6.8440986873,3.24560028856,2.29416476279,1.0321277421,0.577684529532,0.875052107957,2.11186394277,0.582301177242,36.3489160577,2.89776993195,9.85544566933,1.31350506935,4.00734346141,5.44227416313,1.1890115158,2.93754365543,2.30506156863,17.0339032179,5.36999723657,9.83586836234,3.86591164341,1.73788818112,0.821924831108,23.5717991597,7.50329616551,1.52800855749,1.63068775493,3.57138395572,2.53492658306,2.56204687795,3.02688619663,1.32337847239,0.962962855289,0.903337493495,2.28869526656,5.73276868263,1.46324956166,4.06173006018,2.78571696599,2.46399522276,4.31067496904,4.00213458519,5.65009461843,4.57114109343,3.88339535555,3.25066274151,1.91346155876,2.77341342891,1.45956266076,4.50424691906,2.0567834987,3.12969178913,2.60834258768,3.84380988984,4.81512622652
BD.CG.CT,610.027798467,230.308892067,157.0380759,152.832090257,238.31872338,240.448441571,21.9943398121,1485.71422686,984.907627755,0.0,1994.92540773,153.034439235,155.68983113,56.3991233706,340.286509865,330.09242811,33.3663039922,15062.189366,1021.36568264,3421.01056021,447.808472981,965.696233191,1505.13900604,538.924667617,1022.76280258,1411.19045887,8725.77549085,1984.73140698,2570.01081657,919.1771222,523.358314184,569.623713762,5571.2261593,2172.58636715,338.563447343,398.286351689,900.37730638,653.051447202,567.29555183,767.112916177,381.044789333,229.092794637,262.614462101,479.374859744,1373.63242115,329.04103323,907.48193171,685.599849276,532.622168379,1178.19419901,917.440149529,1512.4295617,955.318690558,870.678831047,683.86443019,389.201789065,562.571875986,287.675522716,956.463196886,410.775691237,717.65164714,486.435075307,816.932183151,878.447795647
