,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.BA.BS,0.0,20.8438747771,12.214688249,4.35746087338,18.7733931196,13.3376385259,10.9885605977,107.068417041,39.6436523842,181.28331851,126.04593806,62.1514248794,30.1461523979,17.5594456304,19.1645447779,46.3142539279,17.3953986241,429.843862309,52.0559054945,161.509280557,16.6741883392,236.962401442,149.46314296,14.8956356468,57.9132636845,33.9628089297,92.4106660324,89.7139322771,366.952654624,149.734481646,45.2808006886,14.7487542102,1312.8577903,245.423810133,22.4763615349,58.2151205781,84.7967167484,76.2059048482,45.8803961126,122.481340891,31.3890404172,39.8333655744,16.1380039491,49.8912298053,403.278896531,120.691649385,308.677035508,153.696417192,161.878209787,161.678711733,250.305852269,252.841085394,380.561758674,297.690789807,235.700050168,146.230233917,217.675072006,107.006642598,376.530063553,154.326729957,99.2941469013,91.5875348592,149.110093803,186.240003847
BD.BA.BL,195.838846067,0.0,58.4494205572,49.4160686252,56.9587846573,99.7313916176,47.8225584658,769.361691434,358.156151722,757.692763467,931.7750125,258.614901231,159.632830311,93.5103278788,135.081517849,189.328737013,85.5719166078,3831.578383,519.535870099,1284.37296702,207.421867051,1704.34350962,1067.37944762,202.706259472,510.650230353,335.225627241,793.070750601,689.131016655,2665.96870999,1039.12177588,393.852992865,186.142063561,9306.00557436,1910.78247007,170.441088391,452.121457248,708.163530729,621.315741704,347.054123311,955.826108357,280.372743214,301.16664019,158.422372779,351.312425665,2934.49429841,853.409795766,2189.16968887,1153.91957633,1134.56223845,1293.93452691,1814.54250433,1945.74932125,2595.06522071,2085.6613714,1599.85113105,980.731610523,1460.45594896,708.913973004,2577.93101486,1030.22874718,661.62444281,576.861915915,989.048287306,1173.41571891
BD.BA.BG,57.9375355337,29.5078423666,0.0,9.78315100829,11.0969895571,10.6267511661,15.7225215897,234.981436968,121.590012869,296.148936026,316.040509816,82.8847600003,63.7317313351,32.8947429383,59.0483968713,99.1005779238,29.7396658839,1043.54168037,125.975783774,356.886261709,47.0864771647,440.211796152,307.283932235,53.3404992432,131.016754011,96.666206167,231.970539004,202.025653142,721.927918775,287.913072607,93.6325806829,55.3251176225,2439.24444625,498.38332179,21.0733763529,99.1941248254,141.602922163,135.238779301,51.5184919633,220.225746997,62.5134927672,67.3025003404,33.1937131151,56.6566813499,732.592600499,211.170452964,530.026117553,277.069878618,267.663428403,311.330907551,428.138647083,487.307023527,642.683867306,529.369348732,410.87780933,248.117203689,365.82309968,176.445102445,649.306494015,253.741518558,196.308243773,171.611496745,280.093187591,338.536140213
BD.BA.JK,4.8666607894,5.87415478092,2.30355564096,0.0,3.9455473004,2.0641169268,3.38959479477,39.3383857974,17.5942414979,59.0605189403,50.048585622,18.6693664497,11.0384326033,6.06455151678,8.51586548993,16.8887613039,5.77087066537,161.529665851,18.5886123269,58.5103219171,5.90438942574,78.6592172113,52.8385600714,6.66147308766,20.6915368818,14.0305418272,35.9459002064,33.1451761982,125.874549749,51.1227624762,15.1669795636,7.19336136331,437.324310644,84.4689763468,4.43227525267,17.8118400361,24.5172334551,23.4398679644,10.6447317565,38.8000095829,10.0515145744,12.2593428973,4.95597129205,12.4624108473,131.644798966,38.8087730303,98.0687011558,49.4629334786,50.46299238,53.1839954624,78.8190623328,84.33819957,120.974897645,96.8730332282,76.3728333005,46.7875197732,69.2687075448,33.7901293622,121.016679894,48.5706798951,34.6684791115,31.2635914599,50.6143507049,62.5448987796
BD.BA.PT,33.9673303373,10.9687962246,4.2329797118,6.39187560114,0.0,10.6833906416,9.09105190716,143.057492784,70.9151485095,162.679010746,184.916207386,47.9527479102,35.2197749651,18.9247713958,31.531927042,50.5442205198,17.1065647392,664.847567452,84.2269560304,225.673763836,32.1814437044,286.893878053,191.471022756,34.1603120619,85.6322171754,60.0524828952,143.567701689,125.005360137,461.273111642,182.131313219,63.2990750175,33.7657041939,1579.47583569,323.639630343,20.010248285,69.6134887553,103.876360196,95.262412745,44.2448097425,151.080902754,43.5007244873,46.818959981,23.7211045526,46.4860744691,484.577715589,140.159571933,355.201057047,186.513815662,181.420651714,209.438469188,290.356969595,322.036486817,426.069427953,347.445713645,268.137727035,162.911794584,241.228822045,116.626726346,427.368403246,168.522643436,120.771301135,105.344095239,175.48754694,210.285308567
BD.BA.PR,38.7849684246,30.8671115996,6.51489438691,5.37429144155,17.1701847272,0.0,14.6535402497,184.686471241,93.0842681073,271.617818166,250.037050474,79.3019541383,54.462840912,28.2338270715,48.1011141319,87.877046911,26.2077760825,757.703150589,84.5266958382,268.459272857,28.3963105487,336.958446018,239.992252708,35.2488317989,93.4738167397,69.9941303204,173.381406492,155.086775214,555.352748569,225.730201044,65.0882349599,39.1390416147,1882.32678458,371.617567517,7.90353198788,70.1521242915,91.5653056231,92.9329897513,28.5856729677,158.172934905,41.6525857135,48.5887655963,20.29392316,37.7858689186,554.419360397,161.456007659,403.002547859,205.026757061,203.59190618,224.487727215,320.439524056,361.057014182,499.357676342,408.161697684,321.543959528,194.779019314,286.764641253,138.995925904,504.886793445,198.924649344,157.118819557,139.872022335,223.56352192,275.465900376
BD.CG.BD,21.1420368061,9.79306050544,6.37750174466,5.83923858904,9.66721804323,9.69536312347,0.0,34.5688299541,23.9402101098,17.7671325553,50.5197993212,2.23583507109,7.77513062956,2.84608004677,12.4996604387,16.2746364341,1.77427573569,211.938941442,32.194904232,62.9699787577,15.2907193792,73.509645473,45.5055064559,14.8907442174,28.0293864948,20.5962843348,43.2445712069,33.0156462286,115.42105193,41.836493852,21.92863818,13.5730886727,390.768280509,91.3169572964,14.063562078,23.7542846644,42.8205977698,34.4224625584,24.7246734471,48.6606080226,16.5789198513,15.1695974941,10.5254859833,22.1657741275,130.710363706,36.7609480184,96.1223536816,54.7198030356,50.0750667875,65.8811016326,83.5110297944,92.9023579776,106.10707757,87.3154100388,63.3915315627,38.4988920364,57.7833901816,27.6460115768,104.778507121,41.0036676092,25.383511888,19.6524195157,36.787209195,39.3365333037
BD.CG.BB,282.801171078,216.286789139,130.850608387,93.0333750396,208.839089298,167.753042629,47.4568037586,0.0,181.757869445,788.78901037,276.186428611,294.929267543,113.106386077,48.3142598352,162.181613897,302.575905066,56.9403056851,1265.89942378,298.047503344,280.485735448,173.271511811,611.501979137,149.446153968,144.842146304,207.694789542,131.738642841,187.08697308,77.2070924156,697.04934108,251.656791923,206.385658874,117.857653704,3142.46311785,626.62297776,237.522357318,285.09053702,557.880673614,403.253867504,403.685506297,525.675498209,179.728720201,181.179171923,125.665411998,371.606918475,1226.75287395,380.736449282,1057.9152446,554.71976435,605.187373676,618.307317473,942.328158198,783.949257745,1211.36202047,844.682676579,649.037423756,434.006594971,671.254717539,341.399134572,1119.02078939,507.728402145,105.870684082,144.19285483,245.442298527,343.757882585
BD.CG.CP,1047.42431703,1007.16591991,677.281583621,416.219057331,1035.54593759,845.747615759,328.753915091,1818.11937323,0.0,4999.35176893,1275.61722319,1970.04918461,603.890655916,385.718998141,471.989963461,1303.4269681,433.568085404,9354.19345252,1722.18320845,3359.87457313,835.010066984,6209.84849,3065.53838397,586.758848399,1522.87339001,587.754987497,1480.33462841,1594.12623267,8652.44276634,3466.15485331,1422.09686719,334.573053307,33640.467939,6144.0945159,1261.34514612,2005.07056689,3434.81861775,2708.74326844,2272.48487559,3920.26360932,1132.66039332,1326.39224186,702.893953593,2222.76642433,11226.8804664,3434.46221658,9092.51086379,4568.63234893,4965.45015662,4817.12243379,7658.137397,6938.87515145,10926.5550798,8135.94521214,6397.42636489,4087.94924181,6178.00153188,3080.90986428,10513.0958759,4498.69414666,2056.39979699,2030.9542746,3435.80999469,4370.55166024
BD.CG.CT,282.627925368,125.727413522,97.3396485579,82.4435921459,140.17485334,145.623339118,14.3968855897,465.584225519,294.999942338,0.0,608.684770341,102.019237535,70.7172784952,29.2343255812,142.489877732,158.160038596,19.286711033,3009.14710373,471.234570322,905.4024069,221.00021575,1161.73054421,658.178036469,206.462928003,411.618443469,279.344327965,588.694787659,457.394377061,1755.09816249,639.787391063,332.465749217,180.006153818,6172.49174287,1381.09413774,216.964487502,380.184764658,672.252209252,541.739232846,390.628333497,771.292141305,253.181581789,244.970788864,158.634937929,361.427791242,2088.36134506,599.557490819,1577.07080191,872.891707384,833.255975014,1022.11490152,1362.85496182,1441.9458221,1772.74937287,1416.10294801,1044.82566153,645.507085665,972.863360763,471.41086947,1733.07409821,697.498144109,366.066595885,294.036218785,566.883318356,618.991908287
