,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.BA.BS,0.0,4.06969999441,2.49514331032,0.897451229892,3.75867138225,2.79628221105,2.02747785041,18.5970964201,7.34642438769,33.3105007757,22.5864711544,11.6081826274,5.48752043469,3.12808299577,3.63218500642,8.6966176511,3.12430448724,83.9095101013,12.0986194276,29.2519141581,3.69896671104,37.3275312892,25.2947294544,3.11518991328,12.4430424471,6.40727666581,16.8779536784,15.785054776,60.8914225881,24.337148309,11.3087820141,2.89983067768,204.065332917,46.2641237208,4.80701395157,15.0303843555,20.4840733535,19.6234206058,10.0544212584,32.0881004598,7.89022000821,10.2204522714,3.79934783948,11.0026026134,65.9463019393,18.855700814,56.589943056,34.9868851878,33.6233431012,40.4058004754,55.195060458,51.082377028,59.4942001851,43.6199582524,34.7206450592,22.0709196612,33.6258916757,17.5963747016,54.0556971763,26.1695213819,16.7166144922,15.4100765258,24.3732229831,30.9228883606
BD.BA.BL,24.4713902998,0.0,7.37266189261,6.28458424653,7.04179369092,12.9111502751,5.44852713043,82.5173588212,40.9831908806,85.9701052905,103.100693946,29.8261836433,17.9430998582,10.286273006,15.8087082867,21.9524624058,9.49032808983,461.858743934,74.5611071865,143.641179929,28.4132726943,165.782222258,111.543884454,26.1772274797,67.7490289361,39.0515330355,89.4418190552,74.8719247607,273.169453993,104.290634886,60.7388947776,22.5991875395,893.19411907,222.41798145,22.5089207641,72.0809337528,105.633542134,98.7937443028,46.9632482044,154.626514214,43.518895529,47.7156645187,23.0306795434,47.8405021098,296.311986976,82.3292349593,247.82514139,162.198964537,145.516360599,199.679820045,247.074175876,242.739995702,250.512131611,188.709882847,145.525360214,91.4038373498,139.310732248,71.984169765,228.530466932,107.874622786,68.7807994916,59.9337281614,99.8284696819,120.306746553
BD.BA.BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.BB,142.15808668,104.900002251,66.3972997388,47.5967940623,103.863974503,87.3643050647,21.7508062439,0.0,83.6675671393,360.035839383,122.937230919,136.83354501,51.1437949668,21.3798355979,76.3541479854,141.133986592,25.4038959675,613.848532235,172.073052401,126.191223482,95.4826467128,239.281573888,62.8264086693,75.2457547663,110.850002669,61.7368724143,84.8794980682,33.7446526322,287.323515518,101.605703021,128.039159652,57.5621035999,1213.34219171,293.423927989,126.187237309,182.843131675,334.765092534,257.944453401,219.75291237,342.1002372,112.225130637,115.476323022,73.491406995,203.571310858,498.314585063,147.758160392,481.778456085,313.672712691,312.251060379,383.845828426,516.170217142,393.434979361,470.419160101,307.450354855,237.497702782,162.720079608,257.581120235,139.45575562,399.063065461,213.868906128,44.275345769,60.2661890894,99.6590841223,141.782069158
BD.CG.CP,32.5497787643,30.1982341829,21.2460872599,13.1642435595,31.8388621632,27.2294848836,9.31499939523,48.4956452437,0.0,141.069654214,35.1023740409,56.5049894307,16.8810383547,10.5520073126,13.7372184347,37.5853841347,11.9583940644,280.416387098,61.4669618611,93.4493875632,28.4461842252,150.219882042,79.6708174472,18.8443742788,50.2468599986,17.0279664228,41.5196969865,43.0730371532,220.48619792,86.5151994103,54.5415532027,10.1019414786,802.990045346,177.86156984,41.4266581332,79.498792762,127.420023307,107.115056236,76.4764124304,157.719697055,43.7227404655,52.2626794827,25.4123970825,75.276883875,281.929574551,82.3987807912,255.985491522,159.707140266,158.382689277,184.873705577,259.327725044,215.282690464,262.318748097,183.07306364,144.720479452,94.7513347634,146.558061191,77.8015129951,231.776300769,117.148755747,53.1653671375,52.4765358306,86.2445466608,111.439697683
BD.CG.CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
