"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",1,"Agailjhara",NA,"","Upazila|Thana|Po","Sub-district","",""
2,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",2,"Babuganj",NA,"","Upazila|Thana|Po","Sub-district","",""
3,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",3,"Bakerganj",NA,"","Upazila|Thana|Po","Sub-district","",""
4,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",4,"Banaripara",NA,"","Upazila|Thana|Po","Sub-district","",""
5,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",5,"Barisal S.",NA,"","Upazila|Thana|Po","Sub-district","",""
6,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",6,"Gaurnadi",NA,"","Upazila|Thana|Po","Sub-district","",""
7,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",7,"Hizla",NA,"","Upazila|Thana|Po","Sub-district","",""
8,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",8,"Mehendiganj",NA,"","Upazila|Thana|Po","Sub-district","",""
9,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",9,"Muladi",NA,"","Upazila|Thana|Po","Sub-district","",""
10,20,"BGD","Bangladesh",1,"Barisal",1,"Barisal",10,"Wazirpur",NA,"","Upazila|Thana|Po","Sub-district","",""
11,20,"BGD","Bangladesh",1,"Barisal",2,"Bhola",11,"Bhola S.",NA,"","Upazila|Thana|Po","Sub-district","",""
12,20,"BGD","Bangladesh",1,"Barisal",2,"Bhola",12,"Burhanuddin",NA,"","Upazila|Thana|Po","Sub-district","",""
13,20,"BGD","Bangladesh",1,"Barisal",2,"Bhola",13,"Charfasson",NA,"","Upazila|Thana|Po","Sub-district","",""
14,20,"BGD","Bangladesh",1,"Barisal",2,"Bhola",14,"Daulatkhan",NA,"","Upazila|Thana|Po","Sub-district","",""
15,20,"BGD","Bangladesh",1,"Barisal",2,"Bhola",15,"Lalmohan",NA,"","Upazila|Thana|Po","Sub-district","",""
16,20,"BGD","Bangladesh",1,"Barisal",2,"Bhola",16,"Manpura",NA,"","Upazila|Thana|Po","Sub-district","",""
17,20,"BGD","Bangladesh",1,"Barisal",2,"Bhola",17,"Tazumuddin",NA,"","Upazila|Thana|Po","Sub-district","",""
18,20,"BGD","Bangladesh",1,"Barisal",3,"Borgona",18,"Amtali",NA,"","Upazila|Thana|Po","Sub-district","",""
19,20,"BGD","Bangladesh",1,"Barisal",3,"Borgona",19,"Bamna",NA,"","Upazila|Thana|Po","Sub-district","",""
20,20,"BGD","Bangladesh",1,"Barisal",3,"Borgona",20,"Barguna S.",NA,"","Upazila|Thana|Po","Sub-district","",""
21,20,"BGD","Bangladesh",1,"Barisal",3,"Borgona",21,"Betagi",NA,"","Upazila|Thana|Po","Sub-district","",""
22,20,"BGD","Bangladesh",1,"Barisal",3,"Borgona",22,"Patharghata",NA,"","Upazila|Thana|Po","Sub-district","",""
23,20,"BGD","Bangladesh",1,"Barisal",4,"Jhalakati",23,"Jhalakati S.",NA,"","Upazila|Thana|Po","Sub-district","",""
24,20,"BGD","Bangladesh",1,"Barisal",4,"Jhalakati",24,"Kathalia",NA,"","Upazila|Thana|Po","Sub-district","",""
25,20,"BGD","Bangladesh",1,"Barisal",4,"Jhalakati",25,"Nalchity",NA,"","Upazila|Thana|Po","Sub-district","",""
26,20,"BGD","Bangladesh",1,"Barisal",4,"Jhalakati",26,"Rajapur",NA,"","Upazila|Thana|Po","Sub-district","",""
27,20,"BGD","Bangladesh",1,"Barisal",5,"Patuakhali",27,"Bauphal",NA,"","Upazila|Thana|Po","Sub-district","",""
28,20,"BGD","Bangladesh",1,"Barisal",5,"Patuakhali",28,"Dashina",NA,"","Upazila|Thana|Po","Sub-district","",""
29,20,"BGD","Bangladesh",1,"Barisal",5,"Patuakhali",29,"Galachipa",NA,"","Upazila|Thana|Po","Sub-district","",""
30,20,"BGD","Bangladesh",1,"Barisal",5,"Patuakhali",30,"Kalapara",NA,"","Upazila|Thana|Po","Sub-district","",""
31,20,"BGD","Bangladesh",1,"Barisal",5,"Patuakhali",31,"Mirzaganj",NA,"","Upazila|Thana|Po","Sub-district","",""
32,20,"BGD","Bangladesh",1,"Barisal",5,"Patuakhali",32,"Patuakhali S.",NA,"","Upazila|Thana|Po","Sub-district","",""
33,20,"BGD","Bangladesh",1,"Barisal",6,"Pirojpur",33,"Bhandaria",NA,"","Upazila|Thana|Po","Sub-district","",""
34,20,"BGD","Bangladesh",1,"Barisal",6,"Pirojpur",34,"Kawkhali",NA,"","Upazila|Thana|Po","Sub-district","","Pirojpur"
35,20,"BGD","Bangladesh",1,"Barisal",6,"Pirojpur",35,"Mathbaria",NA,"","Upazila|Thana|Po","Sub-district","",""
