"road","lrp1","lrp2","name","gap"
"N1","N1_LRPS","N1_LRPSa","N1_LRPS-N1_LRPSa","ROAD"
"N1","N1_LRPSa","N1_LRPSb","N1_LRPSa-N1_LRPSb","ROAD"
"N1","N1_LRPSb","N1_LRP001","N1_LRPSb-N1_LRP001","ROAD"
"N1","N1_LRP001","N1_LRP002","N1_LRP001-N1_LRP002","ROAD"
"N1","N1_LRP002","N1_LRP002a","N1_LRP002-N1_LRP002a","ROAD"
"N1","N1_LRP002a","N1_LRP003","N1_LRP002a-N1_LRP003","ROAD"
"N1","N1_LRP003","N1_LRP004","N1_LRP003-N1_LRP004","ROAD"
"N1","N1_LRP004","N1_LRP004a","N1_LRP004-N1_LRP004a","ROAD"
"N1","N1_LRP004a","N1_LRP005","N1_LRP004a-N1_LRP005","ROAD"
"N1","N1_LRP005","N1_LRP006","N1_LRP005-N1_LRP006","ROAD"
"N1","N1_LRP006","N1_LRP007","N1_LRP006-N1_LRP007","ROAD"
"N1","N1_LRP007","N1_LRP007a","N1_LRP007-N1_LRP007a","ROAD"
"N1","N1_LRP007a","N1_LRP008","N1_LRP007a-N1_LRP008","ROAD"
"N1","N1_LRP008","N1_LRP008a","N1_LRP008-N1_LRP008a","ROAD"
"N1","N1_LRP008a","N1_LRP008b","N1_LRP008a-N1_LRP008b","BRIDGE"
"N1","N1_LRP008b","N1_LRP009","N1_LRP008b-N1_LRP009","ROAD"
"N1","N1_LRP009","N1_LRP009a","N1_LRP009-N1_LRP009a","ROAD"
"N1","N1_LRP009a","N1_LRP010","N1_LRP009a-N1_LRP010","ROAD"
"N1","N1_LRP010","N1_LRP010a","N1_LRP010-N1_LRP010a","ROAD"
"N1","N1_LRP010a","N1_LRP010b","N1_LRP010a-N1_LRP010b","ROAD"
"N1","N1_LRP010b","N1_LRP010c","N1_LRP010b-N1_LRP010c","ROAD"
"N1","N1_LRP010c","N1_LRP011","N1_LRP010c-N1_LRP011","ROAD"
"N1","N1_LRP011","N1_LRP011a","N1_LRP011-N1_LRP011a","ROAD"
"N1","N1_LRP011a","N1_LRP011b","N1_LRP011a-N1_LRP011b","ROAD"
"N1","N1_LRP011b","N1_LRP012","N1_LRP011b-N1_LRP012","ROAD"
"N1","N1_LRP012","N1_LRP012a","N1_LRP012-N1_LRP012a","ROAD"
"N1","N1_LRP012a","N1_LRP012b","N1_LRP012a-N1_LRP012b","BRIDGE"
"N1","N1_LRP012b","N1_LRP012c","N1_LRP012b-N1_LRP012c","ROAD"
"N1","N1_LRP012c","N1_LRP013","N1_LRP012c-N1_LRP013","ROAD"
"N1","N1_LRP013","N1_LRP013a","N1_LRP013-N1_LRP013a","ROAD"
"N1","N1_LRP013a","N1_LRP014","N1_LRP013a-N1_LRP014","ROAD"
"N1","N1_LRP014","N1_LRP015","N1_LRP014-N1_LRP015","ROAD"
"N1","N1_LRP015","N1_LRP015a","N1_LRP015-N1_LRP015a","ROAD"
"N1","N1_LRP015a","N1_LRP016","N1_LRP015a-N1_LRP016","ROAD"
"N1","N1_LRP016","N1_LRP016a","N1_LRP016-N1_LRP016a","ROAD"
"N1","N1_LRP016a","N1_LRP016b","N1_LRP016a-N1_LRP016b","ROAD"
"N1","N1_LRP016b","N1_LRP016c","N1_LRP016b-N1_LRP016c","BRIDGE"
"N1","N1_LRP016c","N1_LRP017","N1_LRP016c-N1_LRP017","ROAD"
"N1","N1_LRP017","N1_LRP017a","N1_LRP017-N1_LRP017a","ROAD"
"N1","N1_LRP017a","N1_LRP017b","N1_LRP017a-N1_LRP017b","BRIDGE"
"N1","N1_LRP017b","N1_LRP017c","N1_LRP017b-N1_LRP017c","ROAD"
"N1","N1_LRP017c","N1_LRP017d","N1_LRP017c-N1_LRP017d","BRIDGE"
"N1","N1_LRP017d","N1_LRP018","N1_LRP017d-N1_LRP018","ROAD"
"N1","N1_LRP018","N1_LRP018a","N1_LRP018-N1_LRP018a","ROAD"
"N1","N1_LRP018a","N1_LRP018b","N1_LRP018a-N1_LRP018b","BRIDGE"
"N1","N1_LRP018b","N1_LRP019","N1_LRP018b-N1_LRP019","ROAD"
"N1","N1_LRP019","N1_LRP019a","N1_LRP019-N1_LRP019a","ROAD"
"N1","N1_LRP019a","N1_LRP019b","N1_LRP019a-N1_LRP019b","ROAD"
"N1","N1_LRP019b","N1_LRP020","N1_LRP019b-N1_LRP020","ROAD"
"N1","N1_LRP020","N1_LRP020a","N1_LRP020-N1_LRP020a","ROAD"
"N1","N1_LRP020a","N1_LRP020b","N1_LRP020a-N1_LRP020b","ROAD"
"N1","N1_LRP020b","N1_LRP020c","N1_LRP020b-N1_LRP020c","BRIDGE"
"N1","N1_LRP020c","N1_LRP021","N1_LRP020c-N1_LRP021","ROAD"
"N1","N1_LRP021","N1_LRP021a","N1_LRP021-N1_LRP021a","ROAD"
"N1","N1_LRP021a","N1_LRP022","N1_LRP021a-N1_LRP022","ROAD"
"N1","N1_LRP022","N1_LRP022a","N1_LRP022-N1_LRP022a","ROAD"
"N1","N1_LRP022a","N1_LRP022b","N1_LRP022a-N1_LRP022b","BRIDGE"
"N1","N1_LRP022b","N1_LRP022c","N1_LRP022b-N1_LRP022c","ROAD"
