,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.BA.BS,0.0,45.293578108,25.2177884351,9.42348858236,39.6715619485,27.6760826485,21.8561347215,235.651491053,92.3576442041,386.164066459,291.717485645,123.051914321,67.6136800191,37.3670236029,44.0407020049,104.178723046,35.9671494171,964.915166197,107.698257587,346.353630764,35.5213023153,273.519026551,296.196508177,33.1946054964,116.669181965,76.9954546425,215.324154222,199.627868151,596.235936728,246.563607791,82.2111394119,33.79621148,1609.23591558,406.748367709,45.421261292,89.3512953053,154.481030625,127.802849644,89.3782394873,176.417459699,58.3999310533,56.1710672889,32.1031286809,92.5211397635,395.664612936,104.064061842,283.781114727,180.24948111,166.572178234,245.138445651,265.543019241,345.083932626,328.176357373,278.037565552,233.92405845,137.627504656,198.880282975,103.403401357,325.883105027,145.232579957,194.980630012,172.372318124,253.596640594,324.800087739
BD.BA.BL,19.4781238238,0.0,5.34628963424,4.73471744894,5.33267237293,9.16864627125,4.21417941427,75.0217224424,36.9674305265,71.5080308637,95.541560338,22.6849848084,15.8625337995,8.81627134795,13.7530594454,18.8681168943,7.83881754662,381.069140167,47.6213685987,122.028446142,19.5770107536,87.1591314456,93.7156934464,20.0135114293,45.5773749088,33.6702515466,81.8710283702,67.937683798,191.915841935,75.8090861947,31.680963608,18.8975223697,505.374125176,140.303348464,15.2600213958,30.7445282225,57.1580417899,46.1649036407,29.9536333019,60.9955545416,23.1109473939,18.8156922344,13.9624528275,28.8640945589,127.556515488,32.6008435356,89.1674319356,59.9561149566,51.7237566729,86.919766825,85.2861861305,117.655340028,99.1466592157,86.3037247298,70.3464929172,40.8945936805,59.1179216401,30.3504605951,98.8510171704,42.9540606012,57.5608269633,48.100621007,74.5249358634,90.6656398056
BD.BA.BG,13.1112600173,6.46367370236,0.0,2.13275399536,2.36388038643,2.2228491021,3.1523798716,52.1346137102,28.5549159576,63.5928058952,73.7327029973,16.5422950825,14.4092771556,7.0564780849,13.6787883874,22.4711003454,6.19857004828,236.141325793,26.2729921074,77.1499922473,10.1116998819,51.2216506983,61.3860190964,11.9825525302,26.6065609161,22.0912329222,54.4862947974,45.3160022999,118.245806205,47.7916837614,17.1367064607,12.7796459261,301.398544425,83.2638368519,4.29290322823,15.3473994247,26.004716967,22.8631965515,10.1169958934,31.9759545734,11.7244331369,9.56710779296,6.65636568257,10.5913590661,72.4549458521,18.3544128816,49.1202122332,32.7554362831,27.7643111613,47.5844024769,45.7859376007,67.0445620326,55.868027429,49.8403019623,41.1066131773,23.5401233104,33.6928658064,17.1876891049,56.6494540847,24.0712269516,38.8588686946,32.5582704231,48.020070499,59.5157620581
BD.BA.JK,5.97362551052,6.97926774435,2.60033687778,0.0,4.55879515583,2.34188880013,3.68626569059,47.3403695632,22.411763693,68.7887747006,63.3332411749,20.2103187713,13.5368118481,7.05639191772,10.7001734286,20.7715283941,6.52407993561,198.260864653,21.0277081386,68.6058340007,6.87741876998,49.6436858149,57.2536391356,8.1168037776,22.7917231361,17.3917076835,45.7958698545,40.3262563662,111.828459782,46.0285998879,15.0564286266,9.0126157906,293.097389253,76.544264499,4.8974070528,14.9478983603,24.4215869781,21.4938083854,11.3382403133,30.5569331009,10.2252068054,9.4523363019,5.39054434084,12.636451299,70.6206512282,18.296152093,49.2964779476,31.7173173254,28.3918289964,44.0905835919,45.719497423,62.9372433355,57.0405502944,49.4706111747,41.4438808238,24.0771114573,34.6040089271,17.8533714026,57.2682247159,24.9921362434,37.2227888562,32.1718709387,47.0669895428,59.6405113673
BD.BA.PT,13.7516660885,4.2984356473,1.57602855718,2.49287104043,0.0,3.99786449929,3.26091872622,56.7822641004,29.7941836113,62.4940722356,77.1794839236,17.121589082,14.24565906,7.26275900581,13.0677110839,20.5035540083,6.37863460887,269.149620965,31.4255627198,87.2763590056,12.3635442145,59.7203943095,68.4293109314,13.7285157425,31.1106143456,24.5519358051,60.328243883,50.1629648817,135.163534553,54.0860241133,20.7256051099,13.9534557101,349.146990577,96.7306501767,7.2925420808,19.2686698977,34.1276300679,28.8115601461,15.5439093523,39.2441104162,14.5956711863,11.9064069366,8.50992506112,15.546510491,85.7390047447,21.7941331117,58.8906984273,39.4470537674,33.6661985655,57.2675137406,55.5506859495,79.263903948,66.2606670576,58.5218872383,47.9917320918,27.6511930641,39.747106121,20.3242934994,66.7049225135,28.6005540923,42.7685820084,35.7548232628,53.8240089149,66.1371359225
BD.BA.PR,9.46178414042,7.2889193189,1.46164183666,1.26301469162,3.94294272695,0.0,3.16726271949,44.1725905243,23.5659228494,62.8754706047,62.8849833036,17.0620083351,13.2743098557,6.52914677906,12.0121248313,21.4807176861,5.88858270619,184.835961747,19.0038476572,62.5618593312,6.57377855293,42.2662212556,51.6835125729,8.53615269315,20.4633656589,17.2437645202,43.9017818285,37.5011872754,98.0586740012,40.3929709193,12.8418632266,9.74612200679,250.729843233,66.9290000895,1.73565487274,11.7007810788,18.1274220482,16.9367781259,6.05148601437,24.7578416483,8.42141826153,7.44578540909,4.38704944949,7.61474131694,59.1111049006,15.128181843,40.262054958,26.1294216813,22.7658335644,36.9879419083,36.9418753878,53.5502934274,46.7953662908,41.4266010929,34.6788387546,19.9213704585,28.4719760087,14.5960429759,47.4859547877,20.3432565201,33.5277958848,28.6069121549,41.3186735765,52.2059481197
BD.CG.BD,25.9148356221,11.6192375002,7.18912792986,6.89501871466,11.154216136,10.9847650237,0.0,41.5426796384,30.4528652656,20.6648556061,63.8404941165,2.41700787238,9.52163203414,3.30693632226,15.6839322111,19.9883372737,2.00305909969,259.770708926,36.3686202706,73.7321375994,17.7857879989,46.3290552348,49.2391777678,18.1186522878,30.8313627297,25.4947865721,55.0178051522,40.1127183814,102.398632982,37.6152064368,21.7384836761,16.9821386884,261.530504239,82.6345322191,15.5177778864,19.9071011934,42.5941408649,31.5206282936,26.2988172739,38.2692701098,16.8419177933,11.6799436441,11.4324869804,22.4440219267,70.0217165431,17.3065806155,48.2508070953,35.0393322282,28.1343331195,54.5406684915,48.3736368909,69.231676065,49.9605848973,44.5276722981,34.3516400021,19.7841459909,28.8261781973,14.5867180442,49.5148434661,21.0691307732,27.2157648835,20.1952016865,34.1612938218,37.4576273949
BD.CG.BB,99.4756309703,73.6415718279,42.3287298761,31.5247658932,69.1485690311,54.5419879239,14.7899231568,0.0,66.347916859,263.275077268,100.154581891,91.4934571652,39.7488612342,16.1097172314,58.3972268824,106.64330099,18.4470238522,445.258773826,96.618221989,94.2470841259,57.8370619294,110.596363645,46.4050716824,50.5752809131,65.5599472204,46.7960883377,68.304462684,26.9186548941,177.462467938,64.9307904374,58.7125532314,42.3160725502,603.541449517,162.723516864,75.2094749279,68.5618826821,159.247388426,105.96570595,123.220417334,118.638117835,52.3946155606,40.0321417034,39.1695139758,107.978039262,188.587836879,51.4378594488,152.392967554,101.933937476,97.5750565793,146.891902401,156.639372621,167.648598459,163.678252309,123.613683379,100.929898245,64.0028437817,96.0959898172,51.6917676703,151.752279772,74.8667943535,32.5745497008,42.521617245,65.4064748859,93.9357079278
BD.CG.CP,48.4728385265,45.1163938444,28.8249829191,18.5556151297,45.1108569113,36.1777572348,13.479651595,82.4909655362,0.0,219.534558213,60.8596098016,80.4061996502,27.9213347658,16.9209178886,22.3595815271,60.4402486031,18.4800917345,432.872436004,73.4502375136,148.532164338,36.6700135908,147.762518995,125.23558952,26.9552460609,63.2436742318,27.4683764842,71.1059151562,73.1238698323,289.815782533,117.660393415,53.2256448213,15.8044294774,850.039763259,209.914382057,52.5463196325,63.4409818192,128.995663764,93.6472310274,91.2600749096,116.402440371,43.4419380381,38.5578517336,28.8245497306,84.973943793,227.068031426,61.0460370713,172.320989797,110.45151371,105.328980629,150.56410777,167.479718132,195.22765979,194.24085738,156.646709488,130.88675276,79.3137963667,116.360673509,61.3731284421,187.571994037,87.2739330958,83.2435427535,78.7964188952,120.459421638,157.128370321
BD.CG.CT,242.139221883,104.264775008,76.6944324071,68.0431753812,113.046231622,115.320393317,10.9282484234,391.0718193,262.283259666,0.0,537.620099057,77.0848110423,60.5309759996,23.742160639,124.965230056,135.772112002,15.2187597626,2577.93092089,372.070526741,740.991729658,179.674452001,511.756021815,497.781398619,175.590092246,316.462600627,241.685612361,523.492295408,388.419971013,1088.32593923,402.061310096,230.363110696,157.416222847,2887.43358002,873.538117564,167.329028504,222.694358195,467.388274866,346.730188557,290.414189565,423.974749604,179.769436885,131.834606888,120.433092732,255.792474115,781.946092738,197.289439194,553.324391265,390.679030262,327.221599089,591.436008195,551.776218973,751.061481807,583.416811271,504.757010907,395.738679026,231.856101295,339.222252873,173.849374597,572.438419015,250.504429041,274.332571966,211.193931845,367.942185773,411.98138356
