,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.BA.BS,0.0,561.03162251,328.848373896,119.922248198,506.227373267,363.887810787,277.792351274,2657.60950919,1047.05647918,4717.32584325,3279.53211411,1574.87689706,791.815366267,449.243462365,515.906681003,1239.17779096,443.044289628,11445.2701708,1460.08744194,4008.23861135,466.267399491,4197.26669724,3527.44599479,410.585893381,1541.96885784,886.073329562,2379.83369093,2233.16838869,7900.55438277,3197.93457133,1223.31663247,397.85214463,23782.4768961,5712.65667153,611.743287056,1476.8397437,2317.2800798,2022.52575865,1242.96257646,3058.94732516,865.655494193,962.743624318,450.641988622,1320.62299918,6617.93439242,1785.59913004,5032.63407583,3185.0103549,2961.64281758,4017.01050193,4954.7252306,5449.21934584,5575.70615721,4509.3891412,3674.80503792,2217.84225383,3258.49889797,1680.85120906,5407.7279021,2405.85871732,2335.57809288,2128.06257511,3248.33026605,4161.39483526
BD.BA.BL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.JK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.PT,255.06888145,80.1021685773,30.9197460562,47.7277542162,0.0,79.0813535027,62.3548205288,963.422570346,508.173350077,1148.53960531,1305.37241404,329.674564781,250.989198604,131.364502992,230.302990411,366.9161873,118.209391907,4803.01367271,640.968055579,1519.54503829,244.158749501,1378.74777293,1226.04310673,255.471955705,618.601788364,425.08272005,1003.13105609,844.24137869,2694.52422533,1055.37982881,463.979258405,247.126089354,7762.98601695,2043.89954099,147.765177701,479.14547301,770.180705856,685.967332543,325.2143092,1023.7361926,325.491731358,307.016581174,179.718657146,333.851967933,2157.52988196,562.608028769,1571.23701853,1048.659587,900.549169252,1411.83193719,1559.3989824,1883.07728149,1693.68064955,1427.958857,1134.25047971,670.382125651,979.74825277,497.041942773,1665.30583507,712.793365562,770.745342907,664.101775975,1037.23188405,1274.82714931
BD.BA.PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.BD,357.195074628,160.903806206,104.810041251,98.0982998141,159.126810891,161.469923253,0.0,523.785488048,385.978755126,282.224277384,802.386557498,34.5839250086,124.663330081,44.4484959514,205.404452663,265.808728811,27.5849922109,3444.80842061,551.232724736,953.956619135,261.010068807,794.823035787,655.585303718,250.553446629,455.564788038,328.015174846,679.821816411,501.672592754,1516.95100964,545.433772897,361.639149189,223.503354621,4321.13362129,1297.51341377,233.656319753,367.856573201,714.317370303,557.68166683,408.884316547,741.854254596,279.101568271,223.808564087,179.416751366,358.159557451,1309.38083101,331.995685833,956.652969611,692.198453302,559.248488246,999.194360012,1009.09349107,1222.22841192,948.98223006,807.387847834,603.316033332,356.435296344,528.020634263,265.0879659,918.599858771,390.203054431,364.469714283,278.742406315,489.20284211,536.538671259
BD.CG.BB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.CT,1052.05520133,455.137564394,352.457616341,305.159564176,508.366325969,534.346986576,48.9499039445,1554.28930636,1047.90568047,0.0,2129.99842919,347.681361853,249.816654685,100.593022787,515.893994599,569.140544957,66.0655030139,10776.1233081,1777.66457511,3022.04929161,831.164260928,2767.55554072,2089.16847073,765.404268322,1473.99565332,980.18879743,2039.0060434,1531.28565642,5082.21178409,1837.75342815,1208.02384764,653.066688819,15038.472636,4323.63004341,794.210587589,1297.16760261,2470.78834266,1933.74649715,1423.30655446,2590.74570561,939.08082689,796.309256637,595.778044467,1286.70801166,4609.2092161,1193.00260206,3458.16760957,2432.82733454,2050.34308645,3415.49505873,3628.29028114,4179.64504611,3493.21959344,2885.03414566,2190.89857569,1316.73477888,1958.68475725,995.914233148,3347.61973564,1462.43252303,1158.06959432,918.867027852,1660.92731253,1860.17900328
