,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.BA.BS,0.0,31.7980368907,19.4788083646,7.32754411864,29.3584772742,22.4049869827,14.6341534236,142.969524212,60.2922206505,247.869938333,179.496167677,83.9083572268,42.2441712015,23.2538445622,29.2070431559,67.8634751099,22.8714542476,702.787260765,108.045643279,229.589768667,32.5816798683,239.990678028,187.955887562,27.438154251,103.703702952,54.5590660016,138.551568335,123.670918631,432.711639533,169.957342427,93.1896907415,24.8868041223,1323.4265627,338.174472921,38.3676867321,105.960409145,165.576110574,151.497646308,79.5066778891,214.229252412,67.0294462983,65.9676797933,32.9500808335,84.1766141615,387.070353172,100.242432767,285.147366237,201.073921212,168.782971934,282.023414422,286.85123225,345.317090468,300.282395079,250.258791041,198.295803984,118.92870916,175.118492183,90.6072344683,290.657284811,130.440518145,121.590119564,109.254379443,168.748712013,212.848129284
BD.BA.BL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.JK,0.422402387649,0.461032252997,0.188991718634,0.0,0.317440310923,0.178387376239,0.232240870204,2.70248128397,1.37664587882,4.15458208838,3.66675763034,1.29672468631,0.795804487433,0.413187071207,0.667700878051,1.27316089222,0.390359546747,13.5871858245,1.98494416127,4.27909181552,0.593564382917,4.09853473532,3.41851009965,0.631291875158,1.90622009308,1.1595829944,2.77269934471,2.35067233268,7.63643295963,2.98535849872,1.60589425343,0.624467353872,22.6803551874,5.98805014473,0.389251593449,1.66794098783,2.46294192645,2.39737787057,0.949019726915,3.49144128169,1.10429007542,1.04451689624,0.520594431815,1.08176612607,6.50058120693,1.65832007276,4.66079001667,3.3291697709,2.70693175278,4.77284528473,4.64708963937,5.9259614549,4.91093356235,4.18977703459,3.3056496409,1.95768865375,2.8669787006,1.47199407234,4.80607847932,2.11207635108,2.18410491492,1.91869269184,2.94693911333,3.67750125239
BD.BA.PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.BA.PR,3.08950096872,2.22336887145,0.490547484474,0.426716892052,1.26782524417,0.0,0.921431454116,11.6442319755,6.68432540952,17.5354916871,16.8121930588,5.05512260653,3.60353604503,1.76541734949,3.46128926748,6.07981762518,1.62698383912,58.4932724748,8.28370877563,18.0188526077,2.61989787134,16.113317043,14.2499296851,3.06573248883,7.90314364334,5.30907208804,12.273983719,10.0942983092,30.9208301137,12.0976621494,6.32484581337,3.11829827087,89.5923357375,24.177647382,0.637022096512,6.02895895438,8.44195949985,8.72330075428,2.33893711129,13.0627522023,4.19974802753,3.79938889144,1.95643919122,3.01016521535,25.1256019674,6.33172814958,17.5778806397,12.6647383372,10.0229236192,18.4892206196,17.3390568099,23.2830509647,18.604162815,16.2013001131,12.772852009,7.47972069141,10.8928767207,5.55709579372,18.4021785779,7.93877764111,9.08440566885,7.87820022654,11.9461521399,14.8647766
BD.CG.BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.CG.BB,137.106568245,94.8195054553,59.9655170994,44.9582669039,93.8530480351,80.9807878798,18.1623115128,0.0,79.4377039259,309.936487121,113.024995678,114.424188225,45.5478486563,18.3867569003,71.0291375559,127.409438733,21.5141913772,594.782513504,177.774137994,114.580751492,97.2975205534,177.974850268,54.0072924753,76.6719737228,106.877839073,60.8166297344,80.6081090405,30.5851581436,236.209795503,82.0866633838,122.06161952,57.1501561627,910.32860539,248.128290105,116.517173302,149.12019616,313.044296237,230.378338484,201.032116271,264.224091911,110.293752651,86.2260152764,73.7340799249,180.175972061,338.366481761,90.875051478,280.841806706,208.550618586,181.332619087,309.943513221,310.337118823,307.68350859,274.67840571,204.062578651,156.916794445,101.435902672,155.187416173,83.0730951646,248.236448195,123.32429989,37.2559974272,49.4301654544,79.8231150205,112.900371295
BD.CG.CP,51.6398523484,44.9007915055,31.5631533899,20.4539894936,47.3250675663,41.5181177664,12.7946629955,70.9472564772,0.0,199.761059875,53.0857334091,77.7252842898,24.7300124448,14.9274668704,21.020980523,55.8134985695,16.6589575787,446.941435322,104.459447912,139.575513551,47.6816858885,183.79219138,112.657394673,31.5854174772,79.6913425535,27.5924821149,64.8605109596,64.2187020975,298.166193031,114.973351354,85.5291338309,16.4981737348,991.003780619,247.407657348,62.9223114521,106.651902892,195.998870801,157.367928474,115.082310185,200.380396958,70.6835622404,64.1929452017,41.93991982,109.595366481,314.901429977,83.3612541558,245.459584065,174.666386442,151.296884465,245.556329072,256.47201947,276.943146372,251.952752103,199.877118899,157.286072033,97.1596958431,145.245419583,76.2363773672,237.16101543,111.119160195,73.589069317,70.8000805715,113.630177078,145.970214105
BD.CG.CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
