,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.BA.BS,0.0,1611.31287477,920.118310266,332.473531909,1432.34709687,1002.09474619,820.11446877,8293.37310969,3045.04697691,13963.9717383,9815.12059948,4622.75885613,2364.81250999,1358.12017311,1497.80162186,3629.61395152,1327.68159757,30860.3651506,3708.50621398,11747.5254777,1233.92100419,12520.2374511,11267.3273362,1109.95179173,4007.15441209,2469.13027116,6863.06727998,6805.50660727,24801.8200677,10448.1822494,3016.11426547,1109.11653099,73509.9301174,15855.7480055,1665.20133896,3578.53599377,5852.57256402,4952.52861422,3327.92824901,7161.31359617,2150.69352998,2311.48593084,1158.8322443,3523.32415988,18223.376616,4939.88265383,13245.3881686,7819.68329049,7560.13733492,9720.01247671,11838.5287583,14400.1235365,15756.7435016,13279.0652141,11167.1492444,6588.6618719,9526.09935164,4890.10514462,15720.4222587,6864.96341916,7555.50462417,6836.80172979,10640.499274,13374.0689137
BD.BA.BL,2437.10890382,0.0,712.907970731,610.497298471,703.65242054,1213.25948555,577.907655339,9649.2232458,4454.35398185,9450.09625692,11748.1591023,3114.55259277,2027.58473016,1171.05947815,1709.39998148,2402.44954251,1057.50586316,44541.0057383,5992.89291798,15126.2767977,2485.35921742,14580.8293914,13028.5958224,2445.70577897,5721.02102874,3946.11364387,9536.74264565,8464.36414059,29175.650019,11740.2497624,4247.75849592,2266.51364834,84369.1370182,19988.1805354,2044.59368601,4500.04318368,7913.9499933,6537.96664472,4076.01692081,9048.85487491,3110.4860248,2829.71756431,1841.95595599,4017.11141852,21470.8184064,5655.73441919,15210.0895166,9505.89330572,8579.49234398,12595.5825379,13895.8734278,17943.0981885,17397.288739,15063.9157222,12273.0977234,7154.87734761,10348.7249925,5245.57341932,17427.2080263,7420.32131877,8151.6090409,6972.37051649,11427.8473996,13643.772229
BD.BA.BG,1223.29954848,626.65362101,0.0,205.064750953,232.594452278,219.340601657,322.362520775,5000.2538696,2565.7061726,6266.85970249,6760.80198353,1693.61039567,1373.43850054,698.944309328,1267.80534081,2133.58833013,623.568706847,20582.0584671,2465.49855177,7131.27887275,957.254751299,6389.74425178,6363.78252524,1091.92002061,2490.42547462,1930.65090649,4732.79468489,4210.13249604,13404.6671015,5519.10907609,1713.36291843,1142.96481975,37520.820433,8845.49656518,428.907403279,1675.1134105,2684.90338604,2414.50599638,1026.59374636,3537.36218229,1176.69235237,1072.9120629,654.809944829,1099.17844114,9094.4106252,2374.44021111,6248.07619189,3872.60686846,3434.14797968,5141.91504527,5562.8818882,7624.47456011,7310.16862867,6487.08477999,5347.90900198,3071.18233032,4398.11126451,2215.16328371,7447.37072136,3100.82520109,4103.61909058,3519.26257876,5490.93352477,6678.58257498
BD.BA.JK,291.572672014,353.979757295,135.266923472,0.0,234.662866494,120.891497419,197.202796858,2375.29731129,1053.47080879,3546.33694701,3038.01709851,1082.45873518,675.000125787,365.64337475,518.819393124,1031.75166977,343.346410301,9040.1210289,1032.30396505,3317.51595442,340.603626479,3239.77136668,3105.05569552,386.942980963,1116.04680052,795.145241753,2081.02424444,1959.98396714,6631.97786872,2780.76858795,787.525117451,421.682266711,19088.1379127,4254.01377198,255.975903692,853.512712897,1319.07913868,1187.4768448,601.88446887,1768.42323425,536.863175194,554.553006847,277.415776171,686.059964639,4637.23045873,1238.22891661,3280.36683559,1961.71949901,1837.15547534,2492.45061848,2905.95987477,3744.33344399,3904.52495461,3368.50055553,2820.6757669,1643.31828937,2363.06198571,1203.72958098,3938.59570562,1684.23572754,2056.39356517,1819.22787551,2815.53060518,3501.17725393
BD.BA.PT,1943.0524035,631.101726423,237.326618383,362.986834099,0.0,597.41748467,504.994655614,8247.44465366,4054.13617735,9326.56281082,10717.1853327,2654.62161884,2056.31848066,1089.42420338,1834.19404809,2948.19526655,971.765180707,35526.4156603,4466.00381129,12217.1234776,1772.50372132,11282.1892959,10743.0806535,1894.54917929,4409.95547504,3249.45366277,7935.82134302,7057.78104257,23204.4156557,9458.94092303,3138.12352661,1889.8904471,65823.3965341,15562.1900725,1103.39801332,3184.94521242,5336.09400266,4607.85627267,2388.62572601,6574.62987825,2218.38008307,2022.11100413,1267.78216893,2443.3756651,16297.6794207,4269.73725141,11344.1927524,7062.77555075,6306.1891461,9371.50659881,10221.1076628,13650.9422717,13129.8774061,11535.2773701,9455.39218694,5463.2559997,7857.32259225,3966.83852758,13280.2404351,5579.48756862,6839.78656999,5852.82839879,9320.52217993,11239.2801065
BD.BA.PR,880.386769004,704.73097131,144.942120272,121.107416315,386.906841728,0.0,322.999739627,4225.04024407,2111.65308026,6179.24363751,5750.38730783,1742.04746142,1261.80155857,644.945614645,1110.29112596,2033.98226347,590.766233315,16066.2813471,1778.47941437,5767.04402471,620.626786,5258.17957567,5343.30503437,775.739218698,1910.17852484,1502.8926761,3802.98508314,3474.57169163,11085.834442,4651.94454122,1280.44854763,869.276564844,31127.8618713,7090.75077875,172.93699243,1273.60970343,1866.48568522,1783.75097126,612.380228606,2731.37215107,842.885145833,832.733550243,430.39053244,788.10439675,7399.24974646,1951.7292178,5107.33218453,3080.78865741,2808.19812308,3985.95626881,4476.0893996,6073.23802403,6106.31205521,5377.25085519,4499.34137202,2591.95922165,3706.44836969,1876.01140503,6225.64717943,2613.43449321,3530.96960112,3083.7091817,4711.74577616,5842.30700292
BD.CG.BD,419.562559233,195.472487754,124.04453997,115.039128291,190.446410902,188.087399644,0.0,691.385525788,474.803679577,353.373714537,1015.76719505,42.939372585,157.484675103,56.8381967038,252.243384327,329.323588639,34.9660395482,3928.86288183,592.21843729,1182.62822674,292.170492768,1002.86674854,885.760958185,286.501737541,500.768970385,386.629565496,829.265374177,646.675116719,2014.30080984,753.771959476,377.147415054,263.551994505,5649.54417519,1523.3063545,269.030709796,377.031230743,763.108474115,577.62513916,463.066262027,734.625622337,293.307050061,227.291968764,195.154554533,404.18210051,1525.10294011,388.500778502,1065.0023025,718.845777616,603.849359225,1022.68200831,1019.85011567,1366.18996047,1134.36143627,1005.67761607,775.496193857,447.892775423,652.942907865,326.21635094,1129.5423969,470.961665194,498.720609159,378.78992789,677.825004533,729.377645565
BD.CG.BB,6931.69897978,5332.19208076,3143.48507459,2263.79307781,5081.4968263,4019.52392861,1129.55276156,0.0,4452.33599893,19376.9911149,6858.72657568,6995.88065588,2829.60829804,1191.72788222,4042.33011344,7562.30996855,1385.96963381,28984.3725398,6771.56207992,6506.29967611,4089.25496193,10303.9883824,3592.9064894,3442.02799167,4583.08603007,3054.41439234,4431.12574896,1867.80758601,15024.893764,5600.17943334,4384.1719537,2826.53261777,56114.2139733,12910.7278702,5612.02513418,5588.90542858,12279.578419,8357.7866545,9338.22476257,9802.00376711,3927.28430082,3352.94857828,2877.80182192,8369.25024768,17678.8824852,4969.79226395,14477.2347048,9000.64080077,9013.75025403,11854.759259,14213.5731441,14239.0460787,15995.1988478,12016.2806528,9806.78727416,6236.35378885,9368.45836557,4975.58609437,14899.68459,7202.82564373,2569.1526924,3432.69111731,5585.71461152,7872.58975441
BD.CG.CP,2010.52517185,1944.48763407,1274.18736611,793.137134709,1973.22954225,1586.9869891,612.783893738,3517.18294713,0.0,9617.61873267,2480.78942417,3659.56917216,1183.11204422,745.077024414,921.279260186,2551.14537635,826.455737529,16772.5625348,3064.15759584,6103.44056884,1543.25292112,8194.39451916,5771.60101771,1091.96184918,2631.62847993,1067.18439738,2745.7361168,3020.13264455,14605.4517982,6040.45452591,2365.73238257,628.370143767,47042.7925601,9913.58354106,2333.87410008,3078.23656237,5920.71723299,4396.51901964,4116.71250713,5724.54235344,1938.21944256,1922.29026802,1260.5593639,3920.35109112,12670.2503228,3510.75800593,9744.21684574,5805.16238376,5791.65469268,7232.76590412,9045.9175618,9869.84624702,11298.6699169,9063.8531947,7569.90942474,4600.11069213,6752.38448664,3516.32650158,10962.2049301,4997.88527808,3907.96010135,3786.33907283,6123.31841689,7838.43903139
BD.CG.CT,6714.09398721,3004.13626706,2266.41421376,1944.32433661,3305.70301012,3381.80881982,332.116494309,11146.9564685,7003.74771741,0.0,14650.3313129,2345.4190495,1714.66225522,698.889802992,3442.13601817,3831.1640661,454.994292942,66776.2420566,10376.5832393,20355.3597781,5055.02813592,18972.5958784,15336.2228961,4755.27221507,8803.21054596,6277.2364046,13513.7092818,10724.563221,36665.9680223,13798.847593,6844.9271273,4184.05531909,106826.024651,27579.1926088,4968.41223173,7223.58059792,14341.2905084,10882.204498,8757.87538725,13938.9445786,5361.92609156,4393.86569796,3520.93349217,7889.29437711,29168.710205,7585.05036002,20917.018762,13726.948769,12028.4025395,18993.3655792,19923.4523105,25383.747561,22686.9903096,19524.7354228,15300.8198257,8989.78457182,13159.7149637,6658.78935167,22365.0516954,9590.21525151,8609.70265137,6784.30977681,12503.6516391,13739.2739066
BD.CG.CM,9482.45857829,7504.12525378,4912.85999532,3346.7693891,7632.5527372,6323.50241951,1918.21483347,7927.93925379,3629.94210198,29437.051325,0.0,11778.3510073,3219.2488339,1921.08332346,4309.26029136,9136.67206905,2333.24641938,61325.1509836,12299.9687607,19056.8717347,6627.42408393,26039.4009278,15675.244918,5206.52826349,9639.61067892,4813.59976913,9221.95536585,8187.43119404,44263.2374805,17502.1665639,8763.57044153,3711.85228653,146666.221891,32533.1982725,9143.72247071,11065.8344156,22393.1109816,16161.9934184,15812.9568082,20251.019946,7381.23124192,6793.43697713,5020.59155161,14645.3839616,41580.2313451,11479.3625119,32351.262898,19788.0512841,19450.2694916,25418.9894115,30705.6309679,33177.7800624,36573.9722741,28994.4312179,23806.3286144,14615.2142618,21615.1586397,11285.6799531,35080.8257994,16173.8111466,10011.8138725,9989.52201509,17170.3171006,21715.3539115
BD.CG.CB,3441.59806368,1533.06129471,948.381946233,918.925956561,1456.88507744,1476.23048858,62.4873852046,6231.50304128,4126.419262,3631.62420758,9076.49322789,0.0,1454.18049899,569.564531418,2153.89961596,2834.80827241,387.734380278,33811.5754301,4963.58136027,10331.5730347,2408.59063684,8680.77018611,7921.98648237,2398.39561295,4266.43470035,3323.85170023,7235.06810794,5729.01843208,17681.8174711,6706.11647691,3166.11879489,2236.16968445,49202.4049972,13143.239329,2114.88198123,3115.1955584,6213.66585625,4768.34762796,3657.70590933,6137.86924069,2430.96976336,1884.56977045,1600.00025266,3186.61728879,13046.424037,3316.06168982,9022.81420616,6072.7013227,5070.9571501,8631.37748781,8571.90738234,11669.0636002,9687.32532633,8664.6500258,6720.91158693,3858.5488033,5601.34426704,2790.32881884,9710.22020329,4011.37494485,4560.78656536,3526.90547212,6125.19264954,6720.77152366
BD.CG.FN,2437.987904,1382.03418361,1065.01299666,793.503682088,1562.74806436,1480.67986275,317.359044068,3490.21887256,1847.3330074,3676.50334118,3435.29522211,2013.69753894,0.0,260.371305946,921.090233103,1141.25259166,335.555512216,23181.939749,3885.85023849,7152.30360301,1922.63630251,7697.45549232,5470.95581023,1671.13783851,3246.41110466,2024.47386375,4309.18200693,3521.0005984,14084.4004832,5367.92680721,2672.83938233,1342.43300921,43302.1934634,10529.2146823,2192.01040789,3049.44003405,6034.15372152,4515.69842892,3880.45822693,5766.349139,2143.04494594,1867.38447865,1409.9483239,3579.57872484,12032.2028966,3212.24835725,8942.14729817,5680.7389534,5244.57346926,7598.2493182,8493.32935062,10088.5789986,9887.24017311,8197.01814512,6552.75429311,3930.65581694,5783.45559034,2970.18927682,9622.56160643,4268.59950571,3127.36689136,2682.90005983,4970.41177763,5733.7139917
BD.CG.KG,1271.95363912,725.131842154,492.364251508,390.482028641,752.131642966,687.52968518,104.052164974,1335.37023653,1056.86310184,1361.32973527,1862.31855343,716.501508707,236.532799014,0.0,629.858783757,866.761764899,62.5043540885,10035.920605,1718.67375357,2879.65373556,892.288908526,2854.12143381,1976.30482395,806.455513621,1373.7447363,955.531298445,1916.3612049,1415.26809416,5194.52574459,1876.7434487,1122.25911995,684.555526205,15787.6788916,4130.7180302,988.986997217,1239.58559199,2566.6465186,1873.00320144,1700.81838193,2319.30067961,914.879572587,747.250503627,623.512869734,1522.52104995,4553.31215193,1199.18391449,3376.11796343,2217.04805698,1991.21012373,3063.87548827,3276.22059256,3949.55157075,3615.06557946,3006.95464035,2339.43733896,1406.07411016,2082.21786203,1066.608667,3493.33303578,1548.73347083,1010.59163332,778.055779152,1628.41812088,1728.99357206
BD.CG.LK,1453.3736429,1096.65903056,925.308215562,574.049634793,1311.99452249,1226.29548782,478.432326528,4692.95370583,1353.93794576,6946.60422172,4328.13099699,2807.30457119,866.94256876,652.578996302,0.0,1124.03212922,683.679215139,22994.9704674,3508.06622726,7992.96970748,1554.6007334,8983.0726887,7026.32119348,1268.039703,3221.18715748,1788.04081625,4436.4792638,4196.47748448,16896.101644,6826.57837854,2620.91828471,942.682979057,51627.0487485,11632.3260782,1903.34982429,3103.40797334,5716.34170084,4460.79441307,3527.47537632,5979.05780963,2027.97976583,1944.22946517,1249.94976938,3422.27490097,13612.5287926,3678.83001106,10078.7654463,6155.99811157,5855.41703827,7907.53148978,9308.38221267,11001.7929931,11568.4977125,9611.69104642,7905.11266514,4716.2456428,6883.99501295,3540.72545507,11374.9907477,5029.52448084,4465.47155212,4025.18454079,6706.38047894,8199.91480318
BD.CG.NO,2912.96783442,1274.77773483,1287.94328316,944.192821124,1744.19588152,1858.05126839,516.625502684,7261.41466121,3100.95128117,6394.8085784,7589.9336087,3055.90631191,888.427919011,742.74872788,929.674663574,0.0,741.03641396,39174.5590852,5960.83158177,12855.7551782,2716.35699926,13361.4459438,10595.5607947,2413.63310341,5321.98709353,3340.86544145,7726.9516372,6742.42111369,25451.6563409,10011.248631,4217.00303155,1989.2431032,76256.8587014,18125.0459143,2870.78010784,4722.70644351,8873.67134471,6912.44697965,5295.80076127,9153.24079545,3256.0088549,2929.68021914,2042.83842929,5022.05389784,20308.8847752,5402.83146078,14808.5433496,9296.54084015,8545.82031794,12307.0148049,13806.4714804,16906.6252918,16668.5956694,14066.4944937,11370.9321672,6736.72993983,9834.57432659,5024.225621,16431.6926722,7166.14054532,6410.37670104,5520.88146834,9548.53944983,11253.7766047
